wak,syllables,flag,guess,a,b,c
ให้พรั่นพรั่นหวั่นไหวฤทัยสะเทิน,9,word straddles a beat boundary,ให้พรั่นพรั่น | หวั่นไหวฤทัย | สะเทิน,,,
นางหยิกเพลาผลักหัตถ์น่าบัดสี,9,word straddles a beat boundary,นางหยิกเพลา | ผลักหัตถ์ | น่าบัดสี,,,
พี่ทุกข์นักจะใคร่เห็นว่าเป็นไฉน,10,10 syllables — likely shatter/miscount,พี่ทุกข์นักจะใคร่เห็นว่าเป็นไฉน,,,
มาทันราชรถนางกลางวิถี,9,word straddles a beat boundary,มาทันราชรถ | นาง | กลางวิถี,,,
จริงนะเจ้าเยาวลักษณ์จงหนักหนวง,10,10 syllables — likely shatter/miscount,จริงนะเจ้าเยาวลักษณ์จงหนักหนวง,,,
ไม่สมนึกเหมือนหนึ่งคำจะทำไฉน,10,10 syllables — likely shatter/miscount,ไม่สมนึกเหมือนหนึ่งคำจะทำไฉน,,,
ถ้าผู้ใดไม่ฟังอหังการ์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ถ้าผู้ใด | ไม่ฟัง | อหังการ์,,,
ศึกสำเร็จแล้วจะรักให้หนักหนา,10,10 syllables — likely shatter/miscount,ศึกสำเร็จแล้วจะรักให้หนักหนา,,,
ไม่ให้ลาแล้วจะอุ้มเจ้าคุมไว้,10,10 syllables — likely shatter/miscount,ไม่ให้ลาแล้วจะอุ้มเจ้าคุมไว้,,,
เป็นราชสีห์สมสู่เป็นคู่สอง,9,word straddles a beat boundary,เป็นราชสีห์ | สมสู่ | เป็นคู่สอง,,,
เป็นสัจจังหวังจิตสนิทถนอม,9,word straddles a beat boundary,เป็นสัจจัง | หวังจิตสนิท | ถนอม,,,
นางผลักเพลาพลิกปัดพระหัตถา,9,word straddles a beat boundary,นางผลักเพลา | พลิกปัด | พระหัตถา,,,
กระนั้นเจ้าเข้าไปอยู่ด้วยภูวไนย,10,10 syllables — likely shatter/miscount,กระนั้นเจ้าเข้าไปอยู่ด้วยภูวไนย,,,
แล้วจะล่อให้ละเลิงในเชิงรัก,10,10 syllables — likely shatter/miscount,แล้วจะล่อให้ละเลิงในเชิงรัก,,,
จะเสียทีไม่ทันคิดซึ่งกิจการ,10,10 syllables — likely shatter/miscount,จะเสียทีไม่ทันคิดซึ่งกิจการ,,,
ทรงสิงห์กลิ้งกลดกั้นบดบัง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ทรงสิงห์กลิ้ง | กลดกั้น | บดบัง,,,
พลดาบดั้งเดินดำเนินธง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พลดาบดั้ง | เดินดำ | เนินธง,,,
สะดุดสะเด่าเดินกระโดดโลดเขย่ง,10,10 syllables — likely shatter/miscount,สะดุดสะเด่าเดินกระโดดโลดเขย่ง,,,
ในครั้งนี้แล้วจะใคร่เห็นใจจริง,10,10 syllables — likely shatter/miscount,ในครั้งนี้แล้วจะใคร่เห็นใจจริง,,,
ถ้าขืนบุกรุกโรมเข้าโจมตี,8,word straddles a beat boundary,ถ้าขืนบุกรุก | โรม | เข้าโจมตี,,,
ด้วยสุจริตคิดอ่านการสงคราม,9,word straddles a beat boundary,ด้วยสุจริต | คิดอ่าน | การสงคราม,,,
เห็นท่วงทีจะผดุงบำรุงบำเรอ,10,10 syllables — likely shatter/miscount,เห็นท่วงทีจะผดุงบำรุงบำเรอ,,,
พระอนุชาว่าฉันเห็นก็เช่นนั้น,10,10 syllables — likely shatter/miscount,พระอนุชาว่าฉันเห็นก็เช่นนั้น,,,
ถ้าแม่นมั่นเหมือนหนึ่งคำจะทำไฉน,10,10 syllables — likely shatter/miscount,ถ้าแม่นมั่นเหมือนหนึ่งคำจะทำไฉน,,,
ชวนน้องสาวขึ้นพลับพลาหลังคาสี,11,11 syllables — likely shatter/miscount,ชวนน้องสาวขึ้นพลับพลาหลังคาสี,,,
กับบังอรอัคเรศเกศสตรี,10,10 syllables — likely shatter/miscount,กับบังอรอัคเรศเกศสตรี,,,
อันตัวเราเอาแต่ปากมาฝากรัก,10,10 syllables — likely shatter/miscount,อันตัวเราเอาแต่ปากมาฝากรัก,,,
ได้องค์อัคเรศประเทศสถาน,10,10 syllables — likely shatter/miscount,ได้องค์อัคเรศประเทศสถาน,,,
จงเลิกทัพกลับไปอยู่ชมพูทวีป,10,10 syllables — likely shatter/miscount,จงเลิกทัพกลับไปอยู่ชมพูทวีป,,,
พอจบความพราหมณ์กราบพระทราบเหตุ,9,word straddles a beat boundary,พอจบความ | พราหมณ์กราบพระ | ทราบเหตุ,,,
จึงพร้อมพรั่งให้เป็นเอกภิเษกศรี,10,10 syllables — likely shatter/miscount,จึงพร้อมพรั่งให้เป็นเอกภิเษกศรี,,,
นุชนาฏนวลหงอย่าสงสัย,7,"7 syllables — ambiguous, [3,2,2] is only a guess",นุชนาฏนวล | หงอย่า | สงสัย,,,
ฝ่ายโฉมยงองค์ละเวงเกรงสินสมุทร,10,10 syllables — likely shatter/miscount,ฝ่ายโฉมยงองค์ละเวงเกรงสินสมุทร,,,
เชิญเสด็จขึ้นพลับพลาหน้าหอรบ,11,11 syllables — likely shatter/miscount,เชิญเสด็จขึ้นพลับพลาหน้าหอรบ,,,
ถ้าเหะหะจะได้ยินปืนสัญญา,10,10 syllables — likely shatter/miscount,ถ้าเหะหะจะได้ยินปืนสัญญา,,,
ศรีสุวรรณนั้นจึงว่าเหวยฝรั่ง,10,10 syllables — likely shatter/miscount,ศรีสุวรรณนั้นจึงว่าเหวยฝรั่ง,,,
พระอนุชาว่าเองห้ามปรามทั้งนี้,10,10 syllables — likely shatter/miscount,พระอนุชาว่าเองห้ามปรามทั้งนี้,,,
ไปวันทาทูลยุบลพระชนนี,10,10 syllables — likely shatter/miscount,ไปวันทาทูลยุบลพระชนนี,,,
เชิญพระพี่ขึ้นพลับพลาบนปราการ,11,11 syllables — likely shatter/miscount,เชิญพระพี่ขึ้นพลับพลาบนปราการ,,,
พี่จะขอเข้าประสมเป็นกรมวัง,10,10 syllables — likely shatter/miscount,พี่จะขอเข้าประสมเป็นกรมวัง,,,
ประจ๋อประแจ๋กว่าจะสมอารมณ์หวัง,10,10 syllables — likely shatter/miscount,ประจ๋อประแจ๋กว่าจะสมอารมณ์หวัง,,,
รัตคตพรรณรายสายกระสัน,8,word straddles a beat boundary,รัตคตพรรณราย | สาย | กระสัน,,,
เพชรรัตน์รจนามุกดาหาร,8,word straddles a beat boundary,เพชรรัตน์รจนา | มุก | ดาหาร,,,
แล้วเลือกเหล่าสาวสุรางค์สำอางตา,10,10 syllables — likely shatter/miscount,แล้วเลือกเหล่าสาวสุรางค์สำอางตา,,,
เห็นลูกรักกับพระน้องที่ท้องสนาม,10,10 syllables — likely shatter/miscount,เห็นลูกรักกับพระน้องที่ท้องสนาม,,,
บุรีรัตน์รัตนามหาศวรรย์,10,10 syllables — likely shatter/miscount,บุรีรัตน์รัตนามหาศวรรย์,,,
กับราชมัลมนตรีทั้งสี่นาย,9,word straddles a beat boundary,กับราชมัล | มนตรี | ทั้งสี่นาย,,,
ขอพระองค์จงรับราชสาร,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ขอพระองค์ | จงรับ | ราชสาร,,,
ตามโบราณอย่าให้ช้ำระส่ำระสาย,10,10 syllables — likely shatter/miscount,ตามโบราณอย่าให้ช้ำระส่ำระสาย,,,
พวกไพร่ฟ้าข้าแผ่นดินสิ้นทั้งหลาย,9,4-syllable word not at วรรค edge,พวกไพร่ฟ้าข้าแผ่นดินสิ้นทั้งหลาย,,,
ราชสารการร้อนมาเร่งรัด,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ราชสารการ | ร้อนมา | เร่งรัด,,,
จงรีบไปรัตนามหาศวรรย์,10,10 syllables — likely shatter/miscount,จงรีบไปรัตนามหาศวรรย์,,,
จรจรัลจากพลับพลาเข้ามาวัง,10,10 syllables — likely shatter/miscount,จรจรัลจากพลับพลาเข้ามาวัง,,,
พระบิตุราชมาตุรงค์ของทรงศักดิ์,10,10 syllables — likely shatter/miscount,พระบิตุราชมาตุรงค์ของทรงศักดิ์,,,
เฝ้าหน่วงเหนี่ยวนึกระแวงแคลงวิญญาณ์,10,10 syllables — likely shatter/miscount,เฝ้าหน่วงเหนี่ยวนึกระแวงแคลงวิญญาณ์,,,
แต่สมบัติพัสถานการทั้งหลาย,9,4-syllable word not at วรรค edge,แต่สมบัติพัสถานการทั้งหลาย,,,
ทั้งห้ามแหนแสนสนมกรมใน,8,word straddles a beat boundary,ทั้งห้ามแหน | แสนสนม | กรมใน,,,
จึงเรียกสองธิดารำภาสะหรี,10,10 syllables — likely shatter/miscount,จึงเรียกสองธิดารำภาสะหรี,,,
บรรดาเหล่าสาวสุรางค์นางกำนัล,10,10 syllables — likely shatter/miscount,บรรดาเหล่าสาวสุรางค์นางกำนัล,,,
เลือกที่มีกิริยาอัชฌาสัย,9,4-syllable word not at วรรค edge,เลือกที่มีกิริยาอัชฌาสัย,,,
ให้ลบบาญชีเบี้ยหวัดไม่ขัดขวาง,10,10 syllables — likely shatter/miscount,ให้ลบบาญชีเบี้ยหวัดไม่ขัดขวาง,,,
เอาหมึกจับเขม่าซ้ำให้ดำดี,8,word straddles a beat boundary,เอาหมึกจับเขม่า | ซ้ำ | ให้ดำดี,,,
ได้ระเบียบมิให้สไบขยาย,9,word straddles a beat boundary,ได้ระเบียบ | มิให้สไบ | ขยาย,,,
บ้างชม้ายชม้อยดูพระภูวไนย,10,10 syllables — likely shatter/miscount,บ้างชม้ายชม้อยดูพระภูวไนย,,,
ล้วนรู้ชั้นเชิงฉลาดในราชการ,10,10 syllables — likely shatter/miscount,ล้วนรู้ชั้นเชิงฉลาดในราชการ,,,
แกล้งขับเหล่าสาวสุรางค์นางทั้งหลาย,10,10 syllables — likely shatter/miscount,แกล้งขับเหล่าสาวสุรางค์นางทั้งหลาย,,,
ยิ่งเบือนบิดห่างเหเสนหา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ยิ่งเบือนบิด | ห่างเห | เสนหา,,,
ต้องหาพุมเสนประสมให้ลมคลาย,10,10 syllables — likely shatter/miscount,ต้องหาพุมเสนประสมให้ลมคลาย,,,
จะสู้ตายเสียให้พ้นที่ทรมาน,10,10 syllables — likely shatter/miscount,จะสู้ตายเสียให้พ้นที่ทรมาน,,,
พลางโอบอุ้มจุมพิตสนิทถนอม,9,word straddles a beat boundary,พลางโอบอุ้ม | จุมพิตสนิท | ถนอม,,,
เสียงกึกก้องเก่งก่างโหง่งหง่างเหง่ง,11,11 syllables — likely shatter/miscount,เสียงกึกก้องเก่งก่างโหง่งหง่างเหง่ง,,,
