word	freq	syllables	flags	bucket	context
เก	38	เก		AUTO	ให้ขับพลเกือบจะถึงธา
นัด	38	นัด		AUTO	ำการไม่ถนัดยังขัดข้อง
ราว	38	ราว		AUTO	ว่างแผ้วราวกับเขียนวิ
กริช	38	กริช		AUTO	ือหอกตรีกริชปืนนับหมื่
ผาง	38	ผา-งะ		COMPOSED	ไปแกตบอกผางผางเป็นอย่
ปลง	38	ปะ-ลง		COMPOSED	ิตจะปลิดปลงได้อ้ายพวก
เสือก	38	เสือ-กะ		COMPOSED	รประนมกรเสือกเข้ายังฝั่
กรม	38	กะ-รม		COMPOSED	จอมจุลจักรมีศักดาทั้ง
ลาม	38	ลา-มะ		COMPOSED	คนมาล้นหลามขู่ค่ารามแ
กรู	37	กรู		AUTO	ลาสินธุ์กรูเข้าไปในด่
ซ่อน	37	ซ่อน		AUTO	สรเที่ยวซ่อนซอกตามโตรก
เหิน	37	เหิน		AUTO	ูงนกวิหคเหินกะเรียนร้อ
เต้น	37	เต้น		AUTO	หวออกโลดเต้นเข่นเขี้ยว
พลุ่ง	37	พลุ่ง		AUTO	รงก็โพลงพลุ่งเป็นเปลวฟุ
อย	37	อย		AUTO	ยับยั้งคอยฟังเขาแต่ต
คล้ำ	37	คล้ำ		AUTO	ฟ้าครึ้มคล้ำมัวทั่วทิศ
แบ่ง	37	แบ่ง		AUTO	ะแสร้งมาแบ่งปัน¦กูก็เป
เม	37	เม		AUTO	ีเพราะอีเมียแม้นกูได
เทว	37	เทด		AUTO	งศาสนาขอเทวาช่วยบำรุง
ม่าน	37	ม่าน		AUTO	ดาดเพดานม่านผูกทุกตำบล
ฝึก	37	ฝึก		AUTO	นนครเร่งฝึกสอนช้างม้า
เหลียว	37	เหลียว		AUTO	ดแท้จะแลเหลียวเพราะไม่เห
เยื้อน	37	เยื้อน		AUTO	ตรัสแย้มเยื้อนเอื้อนโองก
สบายใจ	37	สะ-บาย-ใจ		COMPOSED	ลนดับหายสบายใจ¦น้ำมันกรด
พยายาม	37	พะ-ยา-ยาม		COMPOSED	าเกรงขามพยายามเอาให้ได้ไ
หมาง	37	หะ-มา-งะ		COMPOSED	ิตไม่คิดหมางจึงอมเรศสา
โยม	37	โย-มะ		COMPOSED	ัวหวงเอาโยมนั่งจ๋อก้อ
แก่ง	37	แก่-งะ		COMPOSED	แม้พบพานแก่งเกาะแวะเสา
ผม	37	ผะ-มะ		COMPOSED	้าทาเผ้าผมใครเห็นชมร
ผ่า	36	ผ่า		AUTO	้ลังกาจะผ่าอกเอาใส่คร
สับ	36	สับ		AUTO	อาใส่ครกสับคั่วเช่นตั
ง่วง	36	ง่วง		AUTO	เห็นนั่งง่วงผินหลังเข้
อาบ	36	อาบ		AUTO	ให้คนกินอาบจงปราบปราม
กัด	36	กัด		AUTO	คลุกคลีสกัดตีแตกยับทั
ก้อน	36	ก้อน		AUTO	ช่ที¦เอาก้อนหินศิลาลงม
ยุทธ์	36	ยุด		AUTO	รับสัประยุทธ์โยนชุดไฟแต
โล	36	โล		AUTO	็นป้อมวงโล่ดั้งกำบัง
เต้า	36	เต้า		AUTO	ฐานจนลูกเต้าเผ่าพงศ์ทั
ผ่อง	36	ผ่อง		AUTO	แก้วค่อยผ่องแผ้วปรีดิ์
เชือก	36	เชือก		AUTO	่งโถงผูกเชือกเสาเพลาใบช
เบือน	36	เบือน		AUTO	ุมพิตนางเบือนบิดเหหันแล
แหน	36	แหน		AUTO	่าได้นึกแหนงระแวงวนคง
ต้าน	36	ต้าน		AUTO	หารไปต่อต้านดูฤทธิ์อย่
พับ	36	พับ		AUTO	ือแล้วก็พับประทับตราอ
มัด	36	มัด		AUTO	ตราเอามามัดแล้วรีบรัด
ผวา	36	ผะ-วา		COMPOSED	็นสุขลุกผวาได้ยินเสีย
พราก	36	พะ-รา-กะ		COMPOSED	ญแต่พลัดพรากจากพงศ์จาก
พร้อมพรัก	36	พร้อม-พรัก	ssg splits more than override (3 vs 2)	REVIEW	ณาจักรคนพร้อมพรักทั้งในไอศว
กรด	35	กรด		AUTO	อาน้ำมันกรดสาดฟาดเข้า
นั่น	35	นั่น		AUTO	้วยมรณังนั่นยังก่อนไม่
แห	35	แห		AUTO	่าได้นึกแหนงระแวงวนค
สันต์	35	สัน		AUTO	เปรมเกษมสันต์พลางแล่นลั
เที่ยง	35	เที่ยง		AUTO	ะแพ้เป็นเที่ยงแท้บุญเขาม
เทียบ	35	เทียบ		AUTO	เรียบประเทียบถวายพอรุ่ง
เหาะ	35	เหาะ		AUTO	นฤทธิ์มีเหาะได้ในเวหนถ
ห่ม	35	ห่ม		AUTO	บวนเรือแห่มาแออัดให้ต
สบ	35	สบ		AUTO	ลนดับหายสบายใจ¦น้ำมั
หาม	35	หา-มะ		COMPOSED	ั้งศิษย์หามาแข็งขัดเค
อาจ	35	อา-จะ		COMPOSED	นต์กูผู้อาจารย์¦เล่นอ
ปีก	35	ปี-กะ		COMPOSED	้แข็งขันปีกนกสับคาบศิ
นอบนบ	35	นอบ-นบ	sound mismatch @1 (นอ vs นอบ)	REVIEW	กรภพเข้านอบนบทูลองค์พระ
เสมียน	34	สะ-เหมียน	syllable count differs (ssg 1 vs w2p 2)	REVIEW	เสร็จให้เสมียนเขียนหนังส
ย้อย	34	ย้อย		AUTO	ล่องเปลวย้อยเป็นแท่งดั
สูง	34	สูง		AUTO	ข่งตะวันสูงชะงั่นเป็น
เปลี่ยว	34	เปลี่ยว		AUTO	ร้ายควายเปลี่ยวเที่ยวเลี้
เคลิ้ม	34	เคลิ้ม		AUTO	วศรีอย่าเคลิ้มไคล้ใช่อนง
เจียน	34	เจียน		AUTO	หันเหียนเจียนจะคว่ำแล้ว
เร้า	34	เร้า		AUTO	รตั้งโห่เร้าจะเอาชัย¦บ
ร่ม	34	ร่ม		AUTO	กพหลพลไพร่มิได้รู้ลงง
เฉื่อย	34	เฉื่อย		AUTO	มให้เย็นเฉื่อยแต่เรื่อยเ
ผิว	34	ผิว		AUTO	พานชราดูผิวหน้าแดงก่ำ
หมอก	34	หมอ-กะ		COMPOSED	ดูเหมือนหมอกหอบน้ำค้าง
สลด	34	สะ-ลด		COMPOSED	มองรันทดสลดลง¦สินสมุท
จม	34	จะ-มะ		COMPOSED	มายาเข้าจมูกทั้งลูกห
สละ	34	สะ-ละ		COMPOSED	งองค์ดาบสละเวงวัณฬารา
ถอนสมอ	34	ถอน-สะ-หมอ	sound mismatch @2 (สม vs สะ)	REVIEW	วสั่งให้ถอนสมออย่ารอรั้ง
รจนา	34	รด-จะ-นา	syllable count differs (ssg 2 vs w2p 3)	REVIEW	ึงพระโรงรจนามุกดาหารก็
เอ็ง	33	เอ็ง		AUTO	ไรเลยบุญเอ็งเคยได้บำรุ
ตับ	33	ตับ		AUTO	พลยิงปืนตับคาบชุดอาวุ
อิ่ม	33	อิ่ม		AUTO	ยบาทหลวงอิ่มใจดั่งได้แ
ชุบ	33	ชุบ		AUTO	ักมาช่วยชุบอุปถัมภ์เข
เจือ	33	เจือ		AUTO	้งกองหุงเจือจานใส่สารล
ป่วน	33	ป่วน		AUTO	าตันทั้งป่วนปั่นในนภาง
ด่วน	33	ด่วน		AUTO	่พอควรจะด่วนไป¦รับเสด็
สรรพ	33	สรรพ		AUTO	งทุกสิ่งสรรพ์กูสอนสั่ง
ลักษณ์	33	ลัก		AUTO	ึงพระไตรลักษณ์หักประหารก
หน่วง	33	หน่วง		AUTO	ต้องหนักหน่วงในอุระยังส
ทุ่ง	33	ทุ่ง		AUTO	มออกท้องทุ่งมุ่งข้ามพอ
คลอ	33	คลอ		AUTO	แม่น้ำลำคลองทั้งสองฟา
แพลง	33	แพลง		AUTO	ยท่าพลิกแพลงจะแย่งชิงท
ไข้	33	ไข้		AUTO	นไม่เจ็บไข้เลยนะวะเดช
จาม	33	จา-มะ		COMPOSED	ายพวกประจามิตรที่คิดค
ปลด	33	ปะ-ลด		COMPOSED	ายหมดไม่ปลดปลง¦ขุนนาง
กลม	33	กะ-ลม		COMPOSED	งข้อวิ่งกลมระดมยิงบาท
บ่วง	33	บ่-วง		COMPOSED	็เห็นว่าบ่วงน้อยจะคอยก
ปลุก	33	ปะ-ลุก		COMPOSED	พลางแล้วปลุกนุชบุษบงอน
ราง	33	รา-งะ		COMPOSED	้ทันรุ่งรางสว่างตาเอา
ขยับ	33	ขะ-ยับ		COMPOSED	ร้อมล้อมขยับจับพาชีเสี
ตูม	32	ตูม		AUTO	พหลเสียงตูมตึงผึงผางท
ปลิว	32	ปลิว		AUTO	เหมือนลมปลิวฉิวถึงมิทั
ชัง	32	ชัง		AUTO	ฝรั่งมันชังชิงเอายาทิ
คู	32	คู		AUTO	งนั่งคุดคู้เงี่ยแต่ห
ไก	32	ไก		AUTO	ซึ่งกรุงไกร¦แต่ป่างก
แพะ	32	แพะ		AUTO	ไก่เนื้อแพะแกะกระทิงข
เคล้น	32	เคล้น		AUTO	มาลัยพระเคล้นไคล้เคล้าพ
กราด	32	กราด		AUTO	อากาศพยุกราดปั่นป่วนให
ซัก	32	ซัก		AUTO	่ามไปถามซักก็รู้จักพู
ช่วง	32	ช่วง		AUTO	้เว้นชิงช่วงที่หวงหึงเ
เหม	32	เหมะ		AUTO	วนอนอ่อนเหมือนว่าตำรา
ฉีก	32	ฉีก		AUTO	ลสอนแล้วฉีกเสื้อเผาไฟ
จันทน์	32	จัน		AUTO	ระถินอินจันทน์ต้นคันทรงป
เผย	32	เผย		AUTO	นั่งพยักเผยอหยิ่งทุกส
ตาด	32	ตาด		AUTO	จียระบาดตาดปักเครื่อง
เรื่อย	32	เรื่อย		AUTO	เจื้อยระเรื่อยร้องประสาน
วัด	32	วัด		AUTO	ภพจบจังหวัดโองการตรัส
ล้ำ	32	ล้ำ		AUTO	้าครึ้มคล้ำมัวทั่วทิศ
แหวน	32	แหวน		AUTO	เสด็จใส่แหวนเพชรดูก็งา
ปู่	32	ปู่		AUTO	้วยมิใช่ปู่เจ้าเขาสิง
เหนื่อย	32	เหนื่อย		AUTO	าพอพักคนเหนื่อยอ่อนที่นอน
อัง	32	อัง		AUTO	ฆราชชาติอังกฤษกำเริบจ
ตรอม	32	ตะ-รอ-มะ		COMPOSED	ป็นทุกข์ตรอมจงอดออมเสี
หุน	32	หุ-นะ		COMPOSED	งขุ่นให้หุนหันเป็นไรม
ขว้าง	31	ขว้าง		AUTO	ศิลาลงมาขว้างโดยนภางค์เ
ลิบ	31	ลิบ		AUTO	ย์ที่ลอยลิบอย่าพะวงส่
ตบ	31	ตบ		AUTO	แถลงไปแกตบอกผางผางเป
ผึง	31	ผึง		AUTO	ยงตูมตึงผึงผางทางประจ
บุก	31	บุก		AUTO	ฝรั่งไล่บุกเข้าคลุกคล
ควบ	31	ควบ		AUTO	ัสไขขึ้นควบขับจับม้าร
ลัง	31	ลัง		AUTO	ม้นกูได้ลังกาจะผ่าอกเ
เว้น	31	เว้น		AUTO	ข็ญจะได้เว้นชิงช่วงที่
ศิล	31	ศิล		AUTO	าก้อนหินศิลาลงมาขว้าง
อิง	31	อิง		AUTO	งนอนนิ่งอิงหมอนถอนหาย
อับ	31	อับ		AUTO	พายุพยับอับฟ้าเวหาห้อ
เขน	31	เขน		AUTO	บนิ่งพิงเขนยตระกองเกย
พ่น	31	พ่น		AUTO	อุราแล้วพ่นพิษกรอกใส่
รุด	31	รุด		AUTO	้ศพแล้วทรุดนั่งข้างฟา
เงา	31	เงา		AUTO	ืดมิดบังเงาแม่เจ้าเอ๋
ฮือ	31	ฮือ		AUTO	ใจดั่งไฟฮือมันเล่าลือ
เด็ด	31	เด็ด		AUTO	บ้างเดินเด็ดดอกกลอยสอย
หวั่น	31	หวั่น		AUTO	กันเสียงหวั่นไหวฝ่ายพระ
เสียว	31	เสียว		AUTO	ัวเปียจนเสียวงศ์จะต้องล
กสิณ	31	กะ-สิ-นะ		COMPOSED	อย่างทางกสิณเป็นสุดสิ้
แกม	31	แก-มะ		COMPOSED	งคุ์แย้มแกมเกสรมะลุลี
ขจร	31	ขะ-จร		COMPOSED	วัลย์พันขจรที่ชะง่อนเ
สิงโต	31	สิ-งะ-โต		COMPOSED	ตะเคียน¦สิงโตเต้นเล่นหา
ชรา	31	ชะ-รา		COMPOSED	เป็นชาติชราไม่ฝ่าฝืนอ
ทรามสงวน	31	ทะ-รา-มะ-สะ-งะ-วน		COMPOSED	้าโฉมงามทรามสงวนนวลละอองอย
ทลาย	31	ทะ-ลาย		COMPOSED	มปรุทะลุทลาย¦ให้ยิงปืน
หลาก	31	หะ-ลาก		COMPOSED	เม็ดหลายหลากมากนักหนาแ
ปีน	31	ปี-นะ		COMPOSED	ยสิบเก้าปีนี้แล้วแต่แ
ขลัง	30	ขลัง		AUTO	คาถาวิชาขลังเป็นน้ำขัง
วะ	30	วะ		AUTO	บสารท้าววะลำสำปันหนา
เพศ	30	เพศ		AUTO	นเห็นผิดเพศเหตุไรไฉนห
กิ่ง	30	กิ่ง		AUTO	ับนิ่งบนกิ่งเกดฝูงโนเร
สด	30	สด		AUTO	าวคำร่ำแสดงให้แจ้งคว
แหลน	30	แหลน		AUTO	ะบองสั้นแหลนหลาวทั้งง้
เวร	30	เวร		AUTO	ไปบอกให้เวรนอกจัดหากะ
ชา	30	ชา		AUTO	านผู้บัญชา¦สั่งให้ตร
เงิน	30	เงิน		AUTO	สคงจะได้เงินทองของโตโต
เงาะ	30	เงาะ		AUTO	นเป็นแขกเงาะใส่เสื้อเก
ขรรค์	30	ขัน		AUTO	องทรงพระขรรค์อันศักดาที
ซื่อ	30	ซื่อ		AUTO	ียงสัตย์ซื่ออย่าดื้อดึ
เกิน	30	เกิน		AUTO	นแม้นบินเกินเวหนคนมักห
ไห้	30	ไห้		AUTO	ต่างร้องไห้ใจคอเพียงจ
หยอก	30	หยอก		AUTO	อเล่นนอกหยอกเอินพอเพลิ
สัจ	30	สัจ		AUTO	ูกยาเป็นสัจจาใจจริงทุ
ขยาย	30	ขะ-ยาย		COMPOSED	ยฝนหายจะขยายพลากรกลับเ
ตามเสด็จ	30	ตาม-สะ-เด็ด		COMPOSED	ธาสมาทานตามเสด็จพระมุนีฤๅษ
ดวงสมร	30	ดวง-สะ-หมอน		COMPOSED	ดพุ่มพวงดวงสมรแสนอาลัยไป
แสงสว่าง	30	แสง-สะ-หว่าง		COMPOSED	สุนีก้องแสงสว่างกระจ่างฉาย
ฉงน	30	ฉะ-งะ-นะ		COMPOSED	สดีใจไม่ฉงนอยากจะได้ห
ครุฑ	30	คะ-รุ-ทะ		COMPOSED	าคมนุษย์ครุฑาสุราลัยสุ
กรง	30	กร-งะ		COMPOSED	เองอย่าเกรงขามพยายามเ
หลัก	30	หะ-ลัก		COMPOSED	่องลายจำหลักปักกุณฑลมา
แคล้ว	29	แคล้ว		AUTO	อแล้วไม่แคล้วเลยแต่ป่าง
บก	29	บก		AUTO	อยบังลมโบกปัดจะพัดมา
สำ	29	สำ		AUTO	ไว้ชอบกลสำหรับคนล้าง
พุ่ม	29	พุ่ม		AUTO	ือนหนึ่งพุ่มไม้ไพรระหง
สูร	29	สูร		AUTO	นบดินทร์สูรองค์พระจอม
เรียบ	29	เรียบ		AUTO	จัดเรียงเรียบประเทียบถว
ร้าน	29	ร้าน		AUTO	ตึกกว้านร้านโรงก็โพลงพ
คล้อย	29	คล้อย		AUTO	่อนเดือนคล้อยจะลอยไปลับ
เจิม	29	เจิม		AUTO	่องเฉลิมเจิมขวัญสุพรรณ
ยัน	29	ยัน		AUTO	ุรุษสุดขยันเกณฑ์พหลพล
กว้าง	29	กว้าง		AUTO	ลออกทุ่งกว้างกลางย่านพ้
พิศ	29	พิศ		AUTO	เริญใจจะพิศไหนงามสิ้น
ภักดิ์	29	พัก		AUTO	ห้ด้วยใจภักดิ์เพราะความร
วี	29	วี		AUTO	้าเข้าราวีเร่งให้ตีก
ศอ	29	ศอ		AUTO	าศจะลีลาศออกไปจากไอศ
ปลอม	29	ปลอม		AUTO	ดอุบายจะปลอมเข้าเผาบุร
ฉาก	29	ฉาก		AUTO	ขึ้นไปบนฉากกั้นชั้นเฉ
พิ	29	พิ		AUTO	พัดมากับพิษยาโบกไปให
กุน	29	กุน		AUTO	เงาะเกาะกุนตั๋งเที่ยว
อันตราย	29	อัน-ตะ-ราย		COMPOSED	ยป้องกันอันตรายคิดถ่ายเทค
คล่อง	29	คะ-ล่อง		COMPOSED	ิใช่น้อยคล่องคอหอยคว้าใ
กลอก	29	กล-อก		COMPOSED	งสั่นรัวกลอกหัวหูให้หา
ออ	28	ออ		AUTO	ัวพองไม่ออกจากรถฝรั่
นา	28	นา		AUTO	ญพอฝนตกหนาวล้นเหลือท
สั้น	28	สั้น		AUTO	ชุดอาวุธสั้นเข้าโรมรัน
สะ	28	สะ		AUTO	ลพลฝรั่งสะพรั่งพร้อม
มาร	28	มาร		AUTO	าเจ้าคุณมาราชการสถานใ
ดอน	28	ดอน		AUTO	็นประหลาดอนาถนักแจ้งป
โขน	28	โขน		AUTO	นเขาเล่นโขนบ้างโลดเต้
บ้า	28	บ้า		AUTO	ขาดปะกันบ้างหันเหคลื่
พุ่ง	28	พุ่ง		AUTO	วยสมทบรบพุ่งยุ่งนักหนา
งอน	28	งอน		AUTO	ก็ไม่ง้องอนอย่าค่อนแค
ดาด	28	ดาด		AUTO	อกกลาดระดาดาษงอกงามตา
ธร	28	ธร		AUTO	ารากรศศิธรแจ่มกระจ่า
ก้าว	28	ก้าว		AUTO	ประการใดก้าวกุลามาลีศร
มีด	28	มีด		AUTO	ส้อมช้อนมีดสำหรับเชือ
แหลม	28	แหลม		AUTO	าชญ์ฉลาดแหลมมาหลอกกูผู
กึก	28	กึก		AUTO	าพวกโยธากึกก้องร้องตะ
เกราะ	28	เกราะ		AUTO	พิกันกันเกราะสะเดาดง¦ผล
นุ่ง	28	นุ่ง		AUTO	สีตากุ้งนุ่งโสร่งคาดตา
ส่าห์	28	ส่า		AUTO	กดาจงอุตส่าห์เคี่ยวขับค
สนุก	28	สะ-นุ-กะ		COMPOSED	กองทุกข์สนุกสนานฟังถ้อ
ส่องสว่าง	28	ส่อง-สะ-หว่าง		COMPOSED	พอแสงทองส่องสว่างน้ำค้างพรม
โปรดเกล้า	28	โปรด-เกล้า	ssg splits more than override (3 vs 2)	REVIEW	่านจงได้โปรดเกล้าแก่ท้าวเธอ
ค่า	27	ค่า		AUTO	ออกมานอกค่ายต่างเรียง
ลุย	27	ลุย		AUTO	ยวใจเข้าลุยไล่พวกฝรั่
โผง	27	โผง		AUTO	เสียงผึงโผงถูกซี่โครง
มาตย์	27	มาด		AUTO	กาศขุนอำมาตย์พร้อมพรั่ง
พิง	27	พิง		AUTO	หลับนิ่งพิงเขนยตระกอง
ซ้อง	27	ซ้อง		AUTO	องประสานซ้องก้องดงพลาง
ชู้	27	ชู้		AUTO	ามตะกลามชู้มันฆ่าคู่ท
พรรณ	27	พรรณ		AUTO	สงสุวรรณพรรณรายพลางถวา
ริ	27	ริ		AUTO	ิบสุรามารินกินคนเดีย
ช้ำ	27	ช้ำ		AUTO	นผู้เจ็บช้ำระส่ำระสาย
เผื่อ	27	เผื่อ		AUTO	จัดชำนาญเผื่อจะมีข้าศึก
ขำ	27	ขำ		AUTO	ียวเขียวขำดูอำไพมาพร
เริง	27	เริง		AUTO	ดคบเพลิงเริงแรงแสงสว่า
คลุ้ม	27	คลุ้ม		AUTO	ปราโมทย์คลุ้มคลั่งกำลัง
แทรก	27	แทรก		AUTO	แปลกเข้าแทรกแซมที่เขิง
ฟัด	27	ฟัด		AUTO	กกัดทั้งฟัดวีอ้ายโจรต
เล็ง	27	เล็ง		AUTO	ษฐาพระแลเล็งเพ่งพักตร์
รื้อ	27	รื้อ		AUTO	ถึงจะคิดรื้อถอนก้อนศิล
ไอ	27	ไอ		AUTO	่วไปทั้งไอศวรรย์แล้ว
หุ่น	27	หุ่น		AUTO	อญรำทั้งหุ่นจีนหุ่นไทย
เจน	27	เจน		AUTO	ดล้วนจัดเจนคนที่เกณฑ์
หวีด	27	หวีด		AUTO	พระยาปตาหวีดูท่วงทีเขา
ถม	27	ถะ-มะ		COMPOSED	ครื่องจมถมแผ่นสุธาวา
กวน	27	กะ-วน		COMPOSED	อนยาพลางกวนใส่ไว้เสร็
คั่ว	26	คั่ว		AUTO	ส่ครกสับคั่วเช่นตั้วเห
เซ	26	เซ		AUTO	วเปลคนก็เซซบเมาอดข้า
ย่าน	26	ย่าน		AUTO	ไวไวหวาอย่านิ่งช้าจะสว
ฉุน	26	ฉุน		AUTO	พิโรธให้ฉุนโกรธร้องไป
ถัง	26	ถัง		AUTO	พวกผีขี้ถังมาสั่งสอนจ
ครื้น	26	ครื้น		AUTO	เสียงปืนครื้นเครงวังเวง
ฝอย	26	ฝอย		AUTO	ปรอยตั้งฝอยฝนพนักงานค
เงื้อม	26	เงื้อม		AUTO	อนชะง่อนเงื้อมผาคูหาบรรพ
เอื้อน	26	เอื้อน		AUTO	่าขานจึงเอื้อนอรรถตรัสไป
ลาด	26	ลาด		AUTO	ู้กลตายกลาดดาษดาจะย้อ
หวิว	26	หวิว		AUTO	ิ่นรสจิตหวิวให้หิวโหยใ
พริ้ม	26	พริ้ม		AUTO	ทับทิมดูพริ้มพรายสังวาล
ผอม	26	ผอม		AUTO	ไปจนผ่ายผอมให้กายต้อง
ถีบ	26	ถีบ		AUTO	างกลางวิถีบาทหลวงว่าอ
ชิม	26	ชิม		AUTO	งหวังเชยชิมพออิ่มเอมต
ขบ	26	ขบ		AUTO	ณหาสดให้ขบถข้าศึกพลอ
เพลี่ยง	26	เพลี่ยง		AUTO	วียงอย่าเพลี่ยงพล้ำมันจะท
ครา	26	คะ-รา		COMPOSED	วรณ์พระเคราะห์จรเข้าซ
ชลธี	26	ชล-ธี		COMPOSED	ต่ทางท่าชลธีไม่มีใครจะ
แกง	26	แก-งะ		COMPOSED	ไก่พะแนงแกงเกาเหลาทั้
กรบ	26	กะ-รบ		COMPOSED	่โงหัวออกรบสลบนิ่งเหม
เอื้อนอรรถ	26	เอื้อ-อัด	sound mismatch @1 (เอื้อน vs เอื้อ)	REVIEW	่าขานจึงเอื้อนอรรถตรัสไปว่าใ
บรมนาถ	26	บอ-รม-มะ-นาด	syllable count differs (ssg 2 vs w2p 4)	REVIEW	ำรงราชย์บรมนาถถามในพระทั
ยุ่ง	25	ยุ่ง		AUTO	ทบรบพุ่งยุ่งนักหนาบังเ
ยัก	25	ยัก		AUTO	พไทยอ้ายยักษ์หมีเห็นค
ฟุ้ง	25	ฟุ้ง		AUTO	เป็นเปลวฟุ้งคงถูกกระดู
รวม	25	รวม		AUTO	ระการ¦สำรวมจิตกิจอย่า
ย่า	25	ย่า		AUTO	ปกับเราอย่าเพ่อเอากอง
หวาด	25	หวาด		AUTO	นหมองให้หวาดไหวไปทั้งต
โอร	25	โอร		AUTO	์สามองค์โอรสากับไทท้า
หนู	25	หนู		AUTO	หน้าเป็นหนูมันละเลยเฉ
