wak,syllables,flag,a,b,c
พระชี้หัตถตรัสแถลงให้แจ้งความ,10,10 syllables — likely shatter/miscount,พระชี้หัตถตรัสแถลงให้แจ้งความ,,
หางเหมือนอย่างหางปลาในสาชล,10,10 syllables — likely shatter/miscount,หางเหมือนอย่างหางปลาในสาชล,,
พร้อมสะพรั่งนักสนมกรมใน,8,word straddles a beat boundary,พร้อมสะพรั่ง,นักสนม,กรมใน
ตึกปรัศว์สาวสุรางค์ต่างอาศัย,10,10 syllables — likely shatter/miscount,ตึกปรัศว์สาวสุรางค์ต่างอาศัย,,
จนพระประทมแทบจะหลับจึงกลับไป,11,11 syllables — likely shatter/miscount,จนพระประทมแทบจะหลับจึงกลับไป,,
ปลูกโรงราชพิธีสิบสี่ห้อง,9,4-syllable word not at วรรค edge,ปลูกโรงราชพิธีสิบสี่ห้อง,,
ประทีปจัดอัจกลับประดับประดา,10,10 syllables — likely shatter/miscount,ประทีปจัดอัจกลับประดับประดา,,
ราชวัติฉัตรเบญจรงค์เรือง,8,word straddles a beat boundary,ราชวัติ,ฉัตรเบญจ,รงค์เรือง
โหรคอยท่าหาฤกษ์เบิกบัตรพลี,10,10 syllables — likely shatter/miscount,โหรคอยท่าหาฤกษ์เบิกบัตรพลี,,
เหมือนมาแขกแรกรักอีกสักคราว,10,10 syllables — likely shatter/miscount,เหมือนมาแขกแรกรักอีกสักคราว,,
ทรงผ้ายกแย่งอย่างไว้หางหงส์,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ทรงผ้ายก,แย่งอย่าง,ไว้หางหงส์
ฉลององค์อินทรธนูชมพูนุท,10,10 syllables — likely shatter/miscount,ฉลององค์อินทรธนูชมพูนุท,,
แต่แสนกลัวบิตุเรศพระเชษฐา,10,10 syllables — likely shatter/miscount,แต่แสนกลัวบิตุเรศพระเชษฐา,,
พวกสาวศรีพี่เลี้ยงหลีกเลี่ยงไป,9,word straddles a beat boundary,พวกสาวศรี,พี่เลี้ยง,หลีกเลี่ยงไป
พระอัยกาพาพระองค์เผ่าพงศ์พันธุ์,10,10 syllables — likely shatter/miscount,พระอัยกาพาพระองค์เผ่าพงศ์พันธุ์,,
รดน้ำมนต์มุรธากระยาสนาน,11,11 syllables — likely shatter/miscount,รดน้ำมนต์มุรธากระยาสนาน,,
จะเด็ดดับปีวันเหมือนมั่นหมาย,9,word straddles a beat boundary,จะเด็ดดับ,ปีวันเหมือน,มั่นหมาย
รำคาญใจไม่รู้ที่จะเจรจา,10,10 syllables — likely shatter/miscount,รำคาญใจไม่รู้ที่จะเจรจา,,
จะหาไหนได้เหมือนพ่อสินสมุทร,10,10 syllables — likely shatter/miscount,จะหาไหนได้เหมือนพ่อสินสมุทร,,
อยู่คนเดียวก็ไม่ดีเหมือนมีผัว,10,10 syllables — likely shatter/miscount,อยู่คนเดียวก็ไม่ดีเหมือนมีผัว,,
คนจะกลัวเกรงจบภพไตร,8,word straddles a beat boundary,คนจะกลัว,เกรง,จบภพไตร
เหมือนพระพี่สินสมุทรลูกสุดกลัว,11,11 syllables — likely shatter/miscount,เหมือนพระพี่สินสมุทรลูกสุดกลัว,,
พระชนนีโปรดด้วยช่วยสักครั้ง,9,word straddles a beat boundary,พระชนนี,โปรดด้วย,ช่วยสักครั้ง
นางฟังคำทำพิโรธเหมือนโกรธขึ้ง,10,10 syllables — likely shatter/miscount,นางฟังคำทำพิโรธเหมือนโกรธขึ้ง,,
พระลูกรักจักภิเษกเป็นเอกองค์,10,10 syllables — likely shatter/miscount,พระลูกรักจักภิเษกเป็นเอกองค์,,
ฝ่ายโหรนั่งตั้งนาฬิกากำกับ,10,10 syllables — likely shatter/miscount,ฝ่ายโหรนั่งตั้งนาฬิกากำกับ,,
เขาถือมั่นฉันจะกลับก็อับอาย,10,10 syllables — likely shatter/miscount,เขาถือมั่นฉันจะกลับก็อับอาย,,
ขอสู้ตายตามจะโปรดมีโทษทัณฑ์,10,10 syllables — likely shatter/miscount,ขอสู้ตายตามจะโปรดมีโทษทัณฑ์,,
พระอัยกีตีอุราว่าประหลาด,10,10 syllables — likely shatter/miscount,พระอัยกีตีอุราว่าประหลาด,,
ตัดสวาทก็เหมือนตัดสมบัติสวรรค์,11,11 syllables — likely shatter/miscount,ตัดสวาทก็เหมือนตัดสมบัติสวรรค์,,
เมื่อผู้ใหญ่ให้ภิเษกร่วมเอกฉัตร,10,10 syllables — likely shatter/miscount,เมื่อผู้ใหญ่ให้ภิเษกร่วมเอกฉัตร,,
จงโปรดให้ไปภิเษกแม่เสาวคนธ์,11,11 syllables — likely shatter/miscount,จงโปรดให้ไปภิเษกแม่เสาวคนธ์,,
พระอัยกีตีทรวงเข้าผางผึง,9,word straddles a beat boundary,พระอัยกี,ตีทรวง,เข้าผางผึง
กลับขี้หึงยิ่งกว่าข้าหนักหนาหนอ,10,10 syllables — likely shatter/miscount,กลับขี้หึงยิ่งกว่าข้าหนักหนาหนอ,,
เห็นพระมเหสีบุตรีพร้อม,8,word straddles a beat boundary,เห็นพระมเหสี,บุ,ตรีพร้อม
เขาตีฆ้องกลองเอิกเกริกอยู่,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เขาตีฆ้อง,กลองเอิก,เกริกอยู่
อรุณกลัวตัวสั่นซบกันแสง,9,word straddles a beat boundary,อรุณกลัว,ตัวสั่น,ซบกันแสง
พระอัยกามายืนกริ้วครื้นเครง,9,word straddles a beat boundary,พระอัยกา,มายืน,กริ้วครื้นเครง
ควรจะเกรงกลัวพระราชอาชญา,9,word straddles a beat boundary,ควรจะเกรงกลัว,พระราช,อาชญา
พร้อมสุรางค์นางนาฏพระญาติวงศ์,9,word straddles a beat boundary,พร้อมสุรางค์,นางนาฏพระญาติ,วงศ์
เครื่องภิเษกสังข์แตรขึ้นแซ่เสียง,9,word straddles a beat boundary,เครื่องภิเษก,สังข์แตร,ขึ้นแซ่เสียง
ใส่ดุมกลัดกลมกล่อมละม่อมละมุน,11,11 syllables — likely shatter/miscount,ใส่ดุมกลัดกลมกล่อมละม่อมละมุน,,
พระอัยกาขืนเหนี่ยวให้เกี่ยวไว้,9,word straddles a beat boundary,พระอัยกา,ขืนเหนี่ยว,ให้เกี่ยวไว้
พอจบให้โห่สนั่นเสียงครั่นครึก,10,10 syllables — likely shatter/miscount,พอจบให้โห่สนั่นเสียงครั่นครึก,,
เป็นที่ฝ่ายหน้าพระชนกา,7,"7 syllables — ambiguous, [3,2,2] is only a guess",เป็นที่ฝ่าย,หน้าพระ,ชนกา
เสร็จภิเษกสองสมอารมณ์หวัง,9,word straddles a beat boundary,เสร็จภิเษก,สองสม,อารมณ์หวัง
เล่นประชันกันกับวงพวกโหม่งครุ่ม,10,10 syllables — likely shatter/miscount,เล่นประชันกันกับวงพวกโหม่งครุ่ม,,
เป็นกลุ่มกลุ่มกลางแปลงแทงปิไส,10,10 syllables — likely shatter/miscount,เป็นกลุ่มกลุ่มกลางแปลงแทงปิไส,,
ค่อยขึ้นคันศรสาตร์พรหมมาสตร์เมียง,10,10 syllables — likely shatter/miscount,ค่อยขึ้นคันศรสาตร์พรหมมาสตร์เมียง,,
สมมตเป็นเสร็จเสริมเฉลิมขวัญ,10,10 syllables — likely shatter/miscount,สมมตเป็นเสร็จเสริมเฉลิมขวัญ,,
อยู่สุวรรณปรางค์มาศราชวัง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",อยู่สุวรรณ,ปรางค์มาศ,ราชวัง
อายเสนานักสนมกรมใน,8,word straddles a beat boundary,อายเสนา,นักสนม,กรมใน
แล้วกลับเงียบเชียบสงัดกำดัดดึก,10,10 syllables — likely shatter/miscount,แล้วกลับเงียบเชียบสงัดกำดัดดึก,,
สาวสุรางค์ต่างเห็นเจ้านั้นเศร้าโศก,10,10 syllables — likely shatter/miscount,สาวสุรางค์ต่างเห็นเจ้านั้นเศร้าโศก,,
กระทบกระทั่งไปเสียสิ้นทุกถิ่นฐาน,10,10 syllables — likely shatter/miscount,กระทบกระทั่งไปเสียสิ้นทุกถิ่นฐาน,,
อันหลานรักนี้ก็เป็นเหมือนเช่นเรา,10,10 syllables — likely shatter/miscount,อันหลานรักนี้ก็เป็นเหมือนเช่นเรา,,
พระอัคเรศเกษราสารภาพ,11,11 syllables — likely shatter/miscount,พระอัคเรศเกษราสารภาพ,,
เหมือนคเชนทร์เจนขอเหลือหมอควาญ,9,word straddles a beat boundary,เหมือนคเชนทร์,เจนขอ,เหลือหมอควาญ
พระบุตรีมิใช่ชั่วไม่กลัวม้วย,10,10 syllables — likely shatter/miscount,พระบุตรีมิใช่ชั่วไม่กลัวม้วย,,
พระภัสดาว่าไม่ฟังช่างเป็นไร,10,10 syllables — likely shatter/miscount,พระภัสดาว่าไม่ฟังช่างเป็นไร,,
ว่าสินสมุทรสุดโศกเป็นโรคร้อน,9,word straddles a beat boundary,ว่าสินสมุทร,สุดโศก,เป็นโรคร้อน
ฝ่ายโฉมยงนงลักษณ์อัคเรศ,9,word straddles a beat boundary,ฝ่ายโฉมยง,นงลักษณ์อัค,เรศ
ค่อยหมอบนั่งนอมประณตบทศรี,10,10 syllables — likely shatter/miscount,ค่อยหมอบนั่งนอมประณตบทศรี,,
ก็ไม่ไปดูแลเหมือนแต่หลัง,9,word straddles a beat boundary,ก็ไม่ไป,ดูแลเหมือน,แต่หลัง
เหมือนใจกันก็เห็นดีไม่ตีหลาน,10,10 syllables — likely shatter/miscount,เหมือนใจกันก็เห็นดีไม่ตีหลาน,,
ไม่มากมายเหมือนหลานสาวของท้าวไท,10,10 syllables — likely shatter/miscount,ไม่มากมายเหมือนหลานสาวของท้าวไท,,
จะเคืองจิตบิตุรงค์องค์อัยกา,10,10 syllables — likely shatter/miscount,จะเคืองจิตบิตุรงค์องค์อัยกา,,
พลางหยิกเพลาเบาบิดนิดนิดเดียว,9,word straddles a beat boundary,พลางหยิกเพลา,เบาบิด,นิดนิดเดียว
ทำเข่นเขี้ยวขู่ทีนี้กลัวมิกลัว,11,11 syllables — likely shatter/miscount,ทำเข่นเขี้ยวขู่ทีนี้กลัวมิกลัว,,
สองนางกลัวร้องกรีดชิงมีดไว้,9,word straddles a beat boundary,สองนางกลัว,ร้องกรีด,ชิงมีดไว้
สินสมุทรสุดโง่เหมือนโคฝูง,9,word straddles a beat boundary,สินสมุทร,สุดโง่เหมือน,โคฝูง
อรุณน้อยพลอยเห็นเหมือนเช่นสอน,9,word straddles a beat boundary,อรุณน้อย,พลอยเห็นเหมือน,เช่นสอน
เสด็จมาแล้วจะตามอย่าห้ามไว้,10,10 syllables — likely shatter/miscount,เสด็จมาแล้วจะตามอย่าห้ามไว้,,
ประดับเครื่องอย่างเอกเหมือนเมขลา,10,10 syllables — likely shatter/miscount,ประดับเครื่องอย่างเอกเหมือนเมขลา,,
ขึ้นไพชนยต์มนเทียรวิเชียรรัตน์,9,word straddles a beat boundary,ขึ้นไพชนยต์,มนเทียร,วิเชียรรัตน์
ถามข่าวไข้โอรสยศยง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ถามข่าวไข้,โอรส,ยศยง
พระชลนาคลอเนตรสังเวชใจ,9,word straddles a beat boundary,พระชลนา,คลอเนตร,สังเวชใจ
แล้วสั่งหลานพานยาหยิบมาที,9,word straddles a beat boundary,แล้วสั่งหลาน,พานยาหยิบ,มาที
ด้วยโอสถเสนหามารศรี,9,word straddles a beat boundary,ด้วยโอสถ,เสนหา,มารศรี
พระอัยกีดีใจกระไรเลย,9,word straddles a beat boundary,พระอัยกี,ดีใจ,กระไรเลย
สินสมุทรสุดสบายเหมือนหายไข้,10,10 syllables — likely shatter/miscount,สินสมุทรสุดสบายเหมือนหายไข้,,
ยิ่งหอมรื่นชื่นอารมณ์ใคร่กลมเกลียว,10,10 syllables — likely shatter/miscount,ยิ่งหอมรื่นชื่นอารมณ์ใคร่กลมเกลียว,,
พระอัยกีปรีชาปัญญาไว,9,word straddles a beat boundary,พระอัยกี,ปรีชา,ปัญญาไว
พระอัยกีห้ามไว้ก็ไม่ฟัง,9,word straddles a beat boundary,พระอัยกี,ห้ามไว้,ก็ไม่ฟัง
นางไม่ตอบแต่ขยับจะกลับหลัง,10,10 syllables — likely shatter/miscount,นางไม่ตอบแต่ขยับจะกลับหลัง,,
พระน้องรับอภิวาทบาทยุคล,10,10 syllables — likely shatter/miscount,พระน้องรับอภิวาทบาทยุคล,,
นางตกใจทรงภูษาละล้าละลัง,10,10 syllables — likely shatter/miscount,นางตกใจทรงภูษาละล้าละลัง,,
ออกมหาสมุทรใหญ่คลี่ใบกาง,9,4-syllable word not at วรรค edge,ออกมหาสมุทรใหญ่คลี่ใบกาง,,
พระบิตุราชชนนีอยู่ที่ไหน,10,10 syllables — likely shatter/miscount,พระบิตุราชชนนีอยู่ที่ไหน,,
จงอยู่เพื่อนเหมือนอย่าให้เราได้อาย,10,10 syllables — likely shatter/miscount,จงอยู่เพื่อนเหมือนอย่าให้เราได้อาย,,
แล้วนางหยิบมีดพับไว้กับหัตถ์,9,word straddles a beat boundary,แล้วนางหยิบ,มีดพับ,ไว้กับหัตถ์
กระบวนกระบิดมิดแม้นไม่เห็นทาง,10,10 syllables — likely shatter/miscount,กระบวนกระบิดมิดแม้นไม่เห็นทาง,,
พอหัวร่อก็เข้ารัดกระหวัดกอด,10,10 syllables — likely shatter/miscount,พอหัวร่อก็เข้ารัดกระหวัดกอด,,
บ้างทูลว่าถ้าแม้เกี้ยวไม่เหลียวแล,10,10 syllables — likely shatter/miscount,บ้างทูลว่าถ้าแม้เกี้ยวไม่เหลียวแล,,
มันเกี้ยวดื้ออย่างประดาษไม่ปรารถนา,10,10 syllables — likely shatter/miscount,มันเกี้ยวดื้ออย่างประดาษไม่ปรารถนา,,
พระศรีดิบหยิบเสวยเลยลีลาศ,10,10 syllables — likely shatter/miscount,พระศรีดิบหยิบเสวยเลยลีลาศ,,
มาตั้งไว้ขอสมาวันทาถวาย,10,10 syllables — likely shatter/miscount,มาตั้งไว้ขอสมาวันทาถวาย,,
หยิบมีดมาสินสมุทรฉวยฉุดชิง,10,10 syllables — likely shatter/miscount,หยิบมีดมาสินสมุทรฉวยฉุดชิง,,
พระบิตุราชมาตุรงค์ก็ปลงให้,10,10 syllables — likely shatter/miscount,พระบิตุราชมาตุรงค์ก็ปลงให้,,
นางฟังคำทำระทดกำสรดสนอง,10,10 syllables — likely shatter/miscount,นางฟังคำทำระทดกำสรดสนอง,,
ช่วยปกครองโปรดเกศเหมือนเชษฐา,9,word straddles a beat boundary,ช่วยปกครอง,โปรดเกศเหมือน,เชษฐา
เสียน้ำใจในอารมณ์ไม่สมประดี,10,10 syllables — likely shatter/miscount,เสียน้ำใจในอารมณ์ไม่สมประดี,,
ดูพระนุชสุดเสียดายไม่วายเทวษ,10,10 syllables — likely shatter/miscount,ดูพระนุชสุดเสียดายไม่วายเทวษ,,
เป็นคู่ครองศฤงคารตามสารศรี,10,10 syllables — likely shatter/miscount,เป็นคู่ครองศฤงคารตามสารศรี,,
จะเป็นอัคเรศพระเชษฐา,9,word straddles a beat boundary,จะเป็นอัค,เรศพ,ระเชษฐา
ไม่ลามล่วงเลยจริงจริงอย่ากริ่งกลัว,10,10 syllables — likely shatter/miscount,ไม่ลามล่วงเลยจริงจริงอย่ากริ่งกลัว,,
นางว่าถ้าจะมาอยู่เหมือนคู่ชื่น,10,10 syllables — likely shatter/miscount,นางว่าถ้าจะมาอยู่เหมือนคู่ชื่น,,
ถึงคราวรักจึงค่อยรักสมัครสมาน,10,10 syllables — likely shatter/miscount,ถึงคราวรักจึงค่อยรักสมัครสมาน,,
หนักอะไรจะเหมือนรักหนักอุรา,10,10 syllables — likely shatter/miscount,หนักอะไรจะเหมือนรักหนักอุรา,,
อดอะไรจะเหมือนอดที่รสรัก,10,10 syllables — likely shatter/miscount,อดอะไรจะเหมือนอดที่รสรัก,,
ไม่มีสุขแสนวิตกเพียงอกหัก,10,10 syllables — likely shatter/miscount,ไม่มีสุขแสนวิตกเพียงอกหัก,,
แต่ความรักหนักจิตเหมือนปลิดปลิง,9,word straddles a beat boundary,แต่ความรัก,หนักจิตเหมือน,ปลิดปลิง
เหมือนหนังแรดใครจะเกี้ยวเหนี่ยวไม่ไหว,10,10 syllables — likely shatter/miscount,เหมือนหนังแรดใครจะเกี้ยวเหนี่ยวไม่ไหว,,
กระบวนกระบิดติดจะมากเหมือนรากไม้,12,12 syllables — likely shatter/miscount,กระบวนกระบิดติดจะมากเหมือนรากไม้,,
ช่างกลัวเมียกระไรเลยไม่เคยเห็น,10,10 syllables — likely shatter/miscount,ช่างกลัวเมียกระไรเลยไม่เคยเห็น,,
เออกระนั้นหรือจะได้ดังใจนึก,10,10 syllables — likely shatter/miscount,เออกระนั้นหรือจะได้ดังใจนึก,,
คิดจนเลยลืมอารมณ์ไม่สมประดี,10,10 syllables — likely shatter/miscount,คิดจนเลยลืมอารมณ์ไม่สมประดี,,
