word	syllables	flags	context
อาวรณ์	อา-วอน		่หยุดสุดอาวรณ์จะทำการไม่
นารี	นา-รี		กล่าวถึงนารีหลวงชีสองอ
สงคราม	สง-คราม		ศัตรูสู้สงครามทั้งขวากหน
อัชฌาสัย	อัด-ชา-ไส		้ามังคลาอัชฌาสัยเธอโอบอ้อม
ละเวง	ละ-เวง		อยหรืออีละเวงข่มเหงเล่น
เดี๋ยวนี้	เดี๋ยว-นี้		ปลา¦แล้วเดี๋ยวนี้ฝนฟ้าก็สาห
ปากน้ำ	ปาก-น้ำ		่านเมืองปากน้ำแต่หัวค่ำเ
อำมาตย์	อำ-หมาด		ระกาศขุนอำมาตย์พร้อมพรั่ง
กำแพง	กำ-แพง		เทินเนินกำแพง¦ถูกตึกกร้
มัจฉา	มัด-ฉา		ฝูงสัตว์มัจฉาในวารินบ้า
คิดอ่าน	คิด-อ่าน		องจะช่วยคิดอ่านสถานใดจงว่
สำคัญ	สำ-คัน		ากน้ำที่สำคัญ¦ฝ่ายเสนาฝ
กำกับ	กำ-กับ		รั่งนั่งกำกับเป็นแม่ทัพ
อาสัญ	อา-สัน		พระยาที่อาสัญจะมาสิงอยู
มารดา	มาน-ดา		่ผีเสื้อมารดาเจ้ามาวิ่ง
พลับพลา	พลับ-พลา		ข้าไปที่พลับพลาแล้วจาบัลย
รำคาญ	รำ-คาน		บแท่นแสนรำคาญมาดูหลานวา
หรรษา	หัน-สา		พลันด้วยหรรษาอาก็สิ้นคว
เป็นที่	เป็น-ที่		ห็นยินดีเป็นที่ยิ่งคงสมสิ
มาหา	มา-หา		เสร็จรีบมาหาบาทหลวงเห็
มาลี	มา-ลี		งวัณฬาสุมาลีหลวงชีสองเ
นัดดา	นัด-ดา		ไปบอกราชนัดดาในป่าระหงว
ราตรี	รา-ตรี		ำสนธยาในราตรีแกเปรมปรีด
ประทาน	ประ-ทาน		่นบานรับประทานผ่อนผันด้ว
พระยา	พระ-ยา		ึ่งจะว่าพระยาเอกควรจะเส
ระดม	ระ-ดม		หล่าทหารระดมยิงพร้อมกั
วายุ	วา-ยุ		มาดูหลานวายุพัฒน์ยิ่งอ
สุดา	สุ-ดา		กอุราถึงสุดาดวงเดือนเพ
หวั่นไหว	หวั่ว-ไหว	sound mismatch @1 (หวั่น vs หวั่ว)	กันเสียงหวั่นไหวฝ่ายพระจอม
ขึ้นไป	ขึ้น-ไป		สามสิทธาขึ้นไปนั่งยังพระ
รู้จัก	รู้-จัก		ถามซักก็รู้จักพูดจาต่างป
ดำรง	ดำ-รง		้งสองจึงดำรงคงชีวัง¦นี
ช่วยกัน	ช่วย-กัน		ุ่นฉาวจงช่วยกันแว่นแคว้นท
ราหู	รา-หู		ร้ายอยู่ราหูทับต้องตำร
พฤฒา	พรึด-ทา		พวกเสวกาพฤฒามาตย์ไปบอก
ว่าขาน	ว่า-ขาน		่ายาแล้วว่าขานแต่ทัพเรือ
จำรัส	จำ-หรัด		แผ้วแจ่มจำรัสรัศมีครั้น
ประโลม	ประ-โลม		อย่างทางประโลมแกจึงว่าสา
ยับยั้ง	ยับ-ยั้ง		ตั้งมั่นยับยั้งคอยฟังเขาแ
ไปหา	ไป-หา		ลพลนิกายไปหาดทรายเต็มก
ประจำ	ประ-จำ		าญทางน้ำประจำคน¦แกสั่งเ
คิดถึง	คิด-ถึง		ดการแล้วคิดถึงจึ่งจะมา¦พ
อุตส่าห์	อุด-ส่า		ีศักดาจงอุตส่าห์เคี่ยวขับค
ข้างใน	ข้าง-ไน		ำหรับรับข้างใน¦จะกล่าวฝ่
ทุกสิ่ง	ทุก-สิ่ง		ผยอหยิ่งทุกสิ่งสรรพ์กูสอน
นรินทร์	นะ-ริน		ค์ทรงศิลนรินทร์รัชโองการต
ป้องกัน	ป้อง-กัน		หันเหคอยป้องกันอันตรายคิด
คลาไคล	คลา-ไคล		ับม้ารีบคลาไคลตามออกไปถึ
ตรึกตรอง	ตรึก-ตรอง		รเผอิญกูตรึกตรองเห็นช่องแล
ฤทัย	รึ-ไท		น้อยกลอยฤทัยยังมิได้เห
ปรีชา	ปรี-ชา		วกเสนีมีปรีชาให้เอายาแก
ชีวา	ชี-วา		่งจะสิ้นชีวาวันพลางรำพ
คงจะ	คง-จะ		ัยไม่ชนะคงจะแพ้เป็นเที
ตำแหน่ง	ตำ-แหน่ง		่รู้แห่งตำแหน่งนามแล้วว่า
จวน	จ-วน		หน้าเวลาจวนตั้งกระบวน
ดีใจ	ดี-ใจ		าทหลวงแกดีใจพลางไต่ถาม
ผู้ใด	พู่-ได		ว่ามิให้ผู้ใดแจ้งผีมาแก
ประดัง	ประ-ดัง		งตรงมาดาประดัง¦บาทหลวงเร
บำรุง	บำ-รุง		็งเคยได้บำรุงซึ่งกรุงไก
ผู้คน	พู่-คน		นอยู่ทุกผู้คน¦อ้ายพวกผี
สั่งสอน	สั่ง-สอน		ขี้ถังมาสั่งสอนจำพวกไหนอด
ประการ	ประ-กาน		หมายหลายประการทุกเรือนบ้
วันนี้	วัน-นี้		อมกันค่ำวันนี้มีฤกษ์จะยก
ผ่องใส	ผ่อง-ใส		กครองให้ผ่องใสจงรักกันโอ
ขัดสน	ขัด-สน		ารพัดไม่ขัดสนคิดจะตั้งต
เสร็จสรรพ	เส็ด-สับ		คลอดแล้วเสร็จสรรพจะกลับมาอย
อุบาย	อุ-บาย		ตายเพราะอุบายกูแน่ไม่แพ
ราญรอน	ราน-รอน		ฮึกหาญจะราญรอน¦ฝ่ายพระจอ
ศิลา	สิ-ลา		าก้อนหินศิลาลงมาขว้างโ
พวกพ้อง	พวก-พ้อง		ข้องทั้งพวกพ้องคนชิดทั้งศ
ครั้งนี้	ครั้ง-นี้		างไป¦แต่ครั้งนี้สารพัดจะขั
ดังใจ	ดัง-ใจ		้อนรีบไปดังใจจง¦ฝ่ายบาท
น้ำตา	น้ำ-ตา		่ำแต่ถูกน้ำตายกระจุยเป็
ทั้งปวง	ทั้ง-ปวง		รัดสัตว์ทั้งปวงจึงสละละสม
วุ่นวาย	วุ่น-วาย		เศร้าทรงวุ่นวายหลายสถานคร
หยุดยั้ง	หยุด-ยั้ง		่นั่งไม่หยุดยั้งพ้นป่าพนาห
โยคี	โย-คี		ิศโรท่านโยคีเห็นมุนีมา
ปืนใหญ่	ปืน-ไหย่		ปใส่ทั้งปืนใหญ่จุกทางข้าง
มุนี	มุ-นี		านั้นพระมุนีฤๅษีสิทธิ์
สำอาง	สำ-อาง		สีสี่นางสำอางพักตร์ทั้ง
เมืองด่าน	เมือง-ด่าน		้คอยปล้นเมืองด่านชานบุรินทร
ประสาน	ประ-สาน		ื่อยร้องประสานซ้องก้องดง
ลงมา	ลง-มา		นหินศิลาลงมาขว้างโดยนภ
ชีวิต	ชี-วิด		งร่วมจิตชีวิตเดียว¦แกจั
ประโคม	ประ-โคม		งโพยมมันประโคมเป่าลงเป็น
ไสยา	ไส-ยา		สไชยตื่นไสยาสน์พร้อมอำ
ชีวัน	ชี-วัน		ส่งลงบาญชีวันพรุ่งนี้เก
เป็นการ	เป็น-กาน		ีด่านนครเป็นการร้อนรีบไปด
ยิงปืน	ยิง-ปืน		รบสมทบพลยิงปืนตับคาบชุดอ
พรุ่งนี้	พรุ่ง-นี้		ู่นี่ต่อพรุ่งนี้จึ่งมาที่อ
นายด่าน	นาย-ด่าน		ล่าวฝ่ายนายด่านเมืองปากน้
แลเห็น	แล-เห็น		ุ้งแควพอแลเห็นถึงชะวากปา
น่าสงสาร	น่า-สง-สาน		ีจะมีไหนน่าสงสารวานอย่าว่า
ถิ่นฐาน	ถิ่น-ถาน		าบกินทุกถิ่นฐานในเจ็ดวันม
ปรากฏ	ปรา-กด		เสาวรสจงปรากฏเถิดอุบลอย
ดาบส	ดา-บด		้งสองนางดาบสรับพจนารถร
เรื่องราว	เรื่อง-ราว		ีข่าวฟังเรื่องราวเป็นอย่างไ
อาศัย	อา-ไส		ึ่งมาที่อาศัยพวกที่อยู่
อักษร	อัก-สอน		ิญพานสารอักษรพวกขุนด่าน
ข้าเฝ้า	ข้า-เฝ้า		ถึงถิ่นเข้าเฝ้าพระเจ้าอา¦
ให้หา	ให้-หา		กระบอกหูให้หาวนอนอ่อนเห
อาชา	อา-ชา		ุรงค์ทรงอาชา¦บาทหลวงขึ
ท่วงที	ท่วง-ที		้ายนี่ดูท่วงทีจะพะวงเห็น
ราวี	รา-วี		หน้าเข้าราวีเร่งให้ตีก
บ้านเมือง	บ้าน-เมือง		จะกลับไปบ้านเมืองเพราะเคือง
โองการ	โอง-กาน		กษัตริย์โองการตรัสเศร้าส
สังเกต	สัง-เกด		วิเวกจิตสังเกตทิศมืดมัวท
ลงเรือ	ลง-เรือ		ฝ่ายทหารลงเรือช่วงครรไลล
เจ้านาย	เจ้า-นาย		ยให้สบายเจ้านายเรา¦จะกล่า
ฝ่าฝืน	ฝ่า-ฝืน		กทิวาไม่ฝ่าฝืนแต่บรรดาอย
ไหนจะ	ไหน-จะ		อามันไว้ไหนจะอยู่ด้วยคน
เรียงราย	เรียง-ราย		ค่ายต่างเรียงรายเข้าประมูล
ชาวเมือง	ชาว-เมือง		ายกองพวกชาวเมืองเห็นประหลา
ประจักษ์	ประ-จัก		่ตระหนักประจักษ์ใจจึงทูลไท
สำเภา	สำ-เพา		นเล่าเอาสำเภาเภตรามาหรื
เมตตา	เมด-ตา		บไอศูรย์เมตตาติดตัวไว้ใ
เสียที	เสีย-ที		มสันต์มิเสียทีที่เป็นปรา
ทั้งนั้น	ทั้ง-นั้น		อนสั่งคนทั้งนั้นเป็นนิรันด
วงศ์วาน	วง-วาน		คนทรงให้วงศ์วานมันแจ้งการ
ตำบล	ตำ-บน		้งอยู่หนตำบลใด¦สามพระอ
สิบห้า	สิบ-ห้า		พ์แล่นมาสิบห้าวันไม่พบฝั
ที่ไหน	ที่-ไหน		ากันไปคนที่ไหนไม่พะวงคิด
พรั่งพร้อม	พรั่ง-พร้อม		ลฝรั่งสะพรั่งพร้อมเข้าแวดล้อ
นับถือ	นับ-ถือ		วรจะต้องนับถือไว้ชื่อเสี
ลำบาก	ลำ-บาก		ผันแปรก็ลำบากยากใจหายแก
ได้มา	ได้-มา		ู้ใดจึ่งได้มา¦นี่เองมาอ
เสียดาย	เสีย-ดาย		นิจจาน่าเสียดายแกฟูมฟายชล
กลางคืน	กลาง-คืน		ให้พังในกลางคืนระดมปืนใหญ
พระเจ้า	พระ-เจ้า		เข้าเฝ้าพระเจ้าอา¦ป่างพระ
กันแสง	กัน-แสง		ดังพิษฝีกันแสงพลางทางโศก
ผันผาย	ผัน-ผาย		ัยหายรีบผันผายกลับหลังอย
แจ้งความ	แจ้ง-ความ		ำแสดงให้แจ้งความข้าแล่นข้า
ยุพา	ยุ-พา		การมารยายุพาพินไม่สุดส
ประจัญ	ประ-จัน		พร้อมกันประจัญบานมันเอาข
ฤกษ์ดี	เริก-ดี		อง¦ครั้นฤกษ์ดีตีกลองร้อง
ประนม	ประ-นม		ยกราบก้มประนมสนองไม่ขัด
ติดตาม	ติด-ตาม		ยายามคิดติดตามภูไนยให้ได
ชื่นชม	ชื่น-ชม		งน้อมเกศชื่นชมสมถวิลแล้ว
บรรทม	บัน-ทม		ก่ขันนางบรรทมฝันว่าได้ไ
ให้ได้	ให้-ได้		รดมึงเอาให้ได้ชั้นฟ้าสุธ
พงศา	พง-สา		วงศ์เผ่าพงศาไม่ได้ข่าว
กระจาย	กระ-จาย		ัดกระจัดกระจาย¦ฝ่ายต้นหน
น้ำค้าง	น้ำ-ค้าง		นหมอกหอบน้ำค้างกลางโพยมมั
ลูกสาว	ลูก-สาว		้องไปกับลูกสาวคนละคราวแล
มังกร	มัง-กอน		วแดงแย่งมังกร¦สั่งพหลพล
หนทาง	นะ-ทาง		็มทนด้วยหนทางต่อสว่างจึ
ใจหาย	ใจ-หาย		ลำบากยากใจหายแกแค้นคั่ง
ข้างหน้า	ข้าง-น่า		เลี้ยวมาข้างหน้าเนิน¦ด้วยบ
อาสา	อา-สา		ายทัพรับอาสารีบออกมาแต
ปรานี	ปรา-นี		ใดมาขอจงปรานีบุตรสุดอาว
ราวกับ	ราว-กับ		ว่างแผ้วราวกับเขียนวิเชี
ตระเวน	ตระ-เวน		ืนเที่ยวตระเวนรายประจำทุ
คะนึง	คะ-นึง		ในจิตคิดคะนึง¦ฝ่ายพวกพล
ถึงที่	ถึง-ที่		่าท่านมาถึงที่เมืองผีสาง
เชิงเทิน	เชิง-เทิน		บพลาหน้าเชิงเทิน¦กองกิเลสผ
บูรี	บู-รี		ศัตรูกู้บูรีอย่าให้มีก
อดสู	อด-สู		วหาคนรู้อดสูใจ¦อย่าย่อ
พลบค่ำ	พลบ-ค่ำ		ศมีครั้นพลบค่ำสนธยาในราต
นิกร	นิ-กอน		วจดูหมู่นิกร¦เผอิญกูตร
ผีเสื้อ	ผี-เสื้อ		ี่หากพี่ผีเสื้อมารดาเจ้าม
อะไร	อะ-ไร		ผาผีหรืออะไรจิตใจหายอน
สุธา	สุ-ทา		้ชั้นฟ้าสุธาทิพย์ที่ลอ
ร้องเรียก	ร้อง-เรียก		ล้วว่าไปร้องเรียกมาว่ากระไร
กำสรด	กำ-สด		ันหมดโศกกำสรดร้อนพระทัย
ทุกข์ร้อน	ทุก-ร้อน		ียรใสที่ทุกข์ร้อนก่อนเก่าบร
เป็นไร	เป็น-ไร		งก่อนไม่เป็นไรในตำราอย่า
ประหลาด	ประ-หลาด		าบนอากาศประหลาดใจ¦จะย้อนท
ชิงชัย	ชิง-ไช		ีวิชาใครชิงชัยไม่ชนะคงจะ
ทรงเครื่อง	ซง-เครื่อง		นสรงแล้วทรงเครื่องอร่ามเรือง
ผายผัน	ผาย-ผัน		พอค่ำพลบผายผันต่างหรรษาบ
ไมตรี	ไม-ตรี		เจริญราชไมตรีที่คะนึงด้
ทำให้	ทำ-ให้		ขาร์แล้วทำให้เป็นลมระดม
ประดับ	ประ-ดับ		ี่ฝักทองประดับเพชรแต่ละเ
ช้านาน	ช้า-นาน		กตราอยู่ช้านานจะสู้พาลเห
แผ่นดิน	แผ่น-ดิน		่ดำรงทรงแผ่นดิน¦แล้วรับเค
สะพรั่ง	สะ-พรั่ง		ลพลฝรั่งสะพรั่งพร้อมเข้าแ
เช่นนี้	เช่น-นี้		ความ¦เออเช่นนี้จึ่งจะว่าพ
กุฎี	กุ-ดี		จตรงเข้ากุฎีที่สำราญ¦ท
ชี้แจง	ชี้-แจง		ธิญาณพระชี้แจงแจ้งข้อบรม
ฆ่าฟัน	ค่า-ฟัน		ามันรบราฆ่าฟันกันบรรลัยแ
มากมาย	มาก-มาย		างนักเลงมากมายหลายกระบวน
ครึกครื้น	ครึก-ครื้น		นมาดาษดาครึกครื้นยิงปืนไฟทห
รับรอง	รับ-รอง		ังคับคอยรับรอง¦ครั้นฤกษ์
ปรนนิบัติ	ปรน-นิ-บัด		คร่งข้างปรนนิบัติค่อยคิดตัด
ละห้อย	ละ-ห้อย		ร้าสร้อยละห้อยหาว่าหลานเ
แลดู	แล-ดู		่วงออกมาแลดูแขไขจวนจะร
ม้าใช้	ม้า-ใช้		น้าฉานพอม้าใช้ไปแถลงแจ้ง
ประยูร	ประ-ยูน		วงศ์พงศ์ประยูรหรือจะสูญล
สมบัติ	สม-บัด		งยิ่งชิงสมบัติทั่วจังหวั
เก้าอี้	เก้า-อี้		หลับไปบนเก้าอี้ที่ในเรือ¦
ทำไม	ทำ-ไม		นดัดอยู่ทำไมในไพรสัณฑ์
รัญจวน	รัน-จวน		หญ่เหหวนรัญจวนจิตแล้วสะก
คับคั่ง	คับ-คั่ง		ำรงวังมาคับคั่งวงศาพลากรท
กระบี่	กระ-บี่		าชาเหน็บกระบี่ฝักทองกล้อ
มั่นคง	มั่น-คง		่นพันให้มั่นคงจงดำรงบ้าน
ตั้งแต่	ตั้ง-แต่		งแชเชือนตั้งแต่มันได้เมีย
คนใช้	คน-ใช้		อนผันพวกคนใช้ผู้ถือหนัง
ภิญโญ	ภิน-โย		่างมีจิตภิญโญสโมสรบ้างก
ใหญ่น้อย	ไหย่-น้อย		สั่งทหารใหญ่น้อยคอยระวัง¦ข
กำนัล	กำ-นัน		รางค์นางกำนัล¦บ้างก็ไปค
โศกา	โส-กา		อรสมาทรงโศกาแล้วแจ้งแส
น้ำมัน	น้ำ-มัน		ม่ไหวเอาน้ำมันกรดสาดฟาดเ
ลีลา	ลี-ลา		ชาติล่วงลีลาศจากทางหว่
ร้องไห้	ร้อง-ไห้		อคุณต่างร้องไห้ใจคอเพียงจ
ห้ามปราม	ห้าม-ปราม		ิกขาท่านห้ามปรามสารพัดอัดอ
บุปผา	บุบ-ผา		ายขยายรสบุปผาสดส่งกลิ่น
ธานินทร์	ทา-นิน		ลพลมายังธานินทร์ครั้นถึงถิ
แผนที่	แผน-ที่		ยู่นี่ดูแผนที่เสียก่อนค่
ตระกูล	ตระ-กูน		วงศ์พงศ์ตระกูล¦จะอยู่ดีป
บัญชา	บัน-ชา		งท่านผู้บัญชา¦สั่งให้ตร
ได้ยิน	ได้-ยิน		ุขลุกผวาได้ยินเสียงปี่แก
วิเชียร	วิ-เชียน		กับเขียนวิเชียรใสที่ทุกข์
ลีลาศ	ลี-ลาด		ชาติล่วงลีลาศจากทางหว่า
รับขวัญ	รับ-ขวัน		ศียรแล้วรับขวัญอาดูรดิ้นด
ความรัก	ความ-รัก		ตามเพราะความรักด้วยทุกข์ห
ที่มา	ที่-มา		เชือน¦คนที่มาว่าไปแต่ตั
ตกใจ	ตก-ใจ		อย่าตื่นตกใจไปด้วยกัน¦
กำหนด	กำ-หนด		่อยสำราญกำหนดนานเบ็ดเสร
ผู้เฒ่า	พู่-เท่า		ญท่านครูผู้เฒ่าเอาไปด้วยจ
เงินทอง	เงิน-ทอง		สคงจะได้เงินทองของโตโต¦น่
ได้ที	ได้-ที		ลไพร่ไม่ได้ทีจะให้ตีแหก
สำนัก	สำ-นัก		าจักรพวกสำนักอยู่ท่าชลา
ขัดข้อง	ขัด-ข้อง		สารพัดจะขัดข้องทั้งพวกพ้อ
นบนอบ	นบ-นอบ		ักกันนางนบนอบตอบสนองขอร
ละเมาะ	ละ-เมาะ		ำราญข้ามละเมาะเกาะเกียนไ
สับสน	สับ-สน		นดับอยู่สับสนพระมังคลาก
บุราณ	บุ-ราน		องเรื่องบุราณ¦นางร้องว่
กล้าหาญ	กล้า-หาน		นทัพหน้ากล้าหาญในการรบได้
ธุระ	ทุ-ระ		่เป็นการธุระดอกบอกจริง
จำนง	จำ-นง		งประสงค์จำนงปอง¦สินสมุ
ทุกวัน	ทุก-วัน		ิ้นรบกันทุกวันคืน¦ทั้งวั
ใช้ใบ	ใช้-ไบ		์ตั้งแต่ใช้ใบมาสิบห้าวั
อย่างนี้	หย่าง-นี้		อกผางเอะอย่างนี้อ้ายพวกผีข
หลงใหล	หลง-ไหล		กพะวงมักหลงใหลอันโลกีย์น
กระทรวง	กระ-ทรวง		พหลวงทุกกระทรวงเร่งรัดให้
