id        	 kind    	 rule    	 story             	 chapter              	 row	 orig_w1                              	 orig_w2                                 	 orig_w3                                	 orig_w4                               	 orig_prev_w4                          	 new_w1                                	 new_w2                                  	 new_w3                                 	 new_w4                                	 op            	 candidate  	 broken_rules                       	 tag                       	 both_normalize
neg_000010	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  10	 อย่าเดินกรายย้ายอกยกผ้าห่ม                	 อย่าเสยผมกลางทางหว่างวิถี                   	 อย่าพูดเพ้อเจ้อไปไม่สู้ดี                      	 เหย้าเรือนมีกลับมาจึงหารือ                  	 เสงี่ยมงามสงวนไว้แต่ในที                   	 อย่าเดินกรายย้ายอกยกผ้าก้าม                	 อย่าเสยผมกลางทางหว่างวิถี                   	 อย่าพูดเพ้อเจ้อไปไม่สู้ดี                      	 เหย้าเรือนมีกลับมาจึงหารือ                  	 C0_same_mattra	 ก้าม        	 r1_w1_w2                           	 -                         	 N
neg_000011	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  11	 ให้กำหนดจดจำแต่คำชอบ                   	 ผิดระบอบแบบกระบวนอย่าควรถือ                	 อย่านุ่งผ้าพกใหญ่ใต้สะดือ                     	 เขาจะลือว่าเล่นไม่เห็นควร                  	 เหย้าเรือนมีกลับมาจึงหารือ                  	 ให้กำหนดจดจำแต่คำเกีอบ                   	 ผิดระบอบแบบกระบวนอย่าควรถือ                	 อย่านุ่งผ้าพกใหญ่ใต้สะดือ                     	 เขาจะลือว่าเล่นไม่เห็นควร                  	 C0_same_mattra	 เกีอบ       	 r1_w1_w2                           	 -                         	 N
neg_000012	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  12	 อย่าลืมตัวมัวเดินให้เพลินจิต                 	 ระวังปิดปกป้องของสงวน                      	 เป็นนารีที่อายหลายกระบวน                   	 จงสงวนศักดิ์สง่าอย่าให้อาย                  	 เขาจะลือว่าเล่นไม่เห็นควร                  	 อย่าลืมตัวมัวเดินให้เพลินชนัด                 	 ระวังปิดปกป้องของสงวน                      	 เป็นนารีที่อายหลายกระบวน                   	 จงสงวนศักดิ์สง่าอย่าให้อาย                  	 C0_same_mattra	 ชนัด        	 r1_w1_w2                           	 -                         	 N
neg_000013	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  13	 อนึ่งเนตรอย่าสังเกตให้เกินนัก               	 จงรู้จักอาการประมาณหมาย                    	 แม้นประสบพบเหล่าเจ้าผู้ชาย                  	 อย่าชม้ายทำชม้อยตะบอยแล                  	 จงสงวนศักดิ์สง่าอย่าให้อาย                  	 อนึ่งเนตรอย่าสังเกตให้เกินแรก               	 จงรู้จักอาการประมาณหมาย                    	 แม้นประสบพบเหล่าเจ้าผู้ชาย                  	 อย่าชม้ายทำชม้อยตะบอยแล                  	 C0_same_mattra	 แรก        	 r1_w1_w2                           	 -                         	 N
neg_000014	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  14	 อันนัยน์ตาพาตัวให้มัวหมอง                  	 เหมือนทำนองแนะออกบอกกระแส                	 จริงมิจริงเขาก็เอาไปเล่าแซ่                  	 คนรังแกมันก็ว่านัยน์ตาคม                    	 อย่าชม้ายทำชม้อยตะบอยแล                  	 อันนัยน์ตาพาตัวให้มัวเหนง                   	 เหมือนทำนองแนะออกบอกกระแส                	 จริงมิจริงเขาก็เอาไปเล่าแซ่                  	 คนรังแกมันก็ว่านัยน์ตาคม                    	 C0_same_mattra	 เหนง       	 r1_w1_w2                           	 -                         	 N
neg_000015	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  15	 อันที่จริงหญิงกับชายย่อมหมายรัก              	 มิใช่จักตัดทางที่สร้างสม                       	 แม้นจักรักรักไว้ในอารมณ์                     	 อย่ารักชมนอกหน้าเป็นราคี                   	 คนรังแกมันก็ว่านัยน์ตาคม                    	 อันที่จริงหญิงกับชายย่อมหมายภูก               	 มิใช่จักตัดทางที่สร้างสม                       	 แม้นจักรักรักไว้ในอารมณ์                     	 อย่ารักชมนอกหน้าเป็นราคี                   	 C0_same_mattra	 ภูก         	 r1_w1_w2                           	 -                         	 N
neg_000016	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  16	 ดังพฤกษาต้องวายุพัดโบก                   	 เขยื้อนโยกก็แต่กิ่งไม่ทิ้งที่                      	 จงยับยั้งชั่งใจเสียให้ดี                       	 เหมือนจามรีรู้จักรักษากาย                   	 อย่ารักชมนอกหน้าเป็นราคี                   	 ดังพฤกษาต้องวายุพัดเกียก                   	 เขยื้อนโยกก็แต่กิ่งไม่ทิ้งที่                      	 จงยับยั้งชั่งใจเสียให้ดี                       	 เหมือนจามรีรู้จักรักษากาย                   	 C0_same_mattra	 เกียก       	 r1_w1_w2                           	 -                         	 N
neg_000017	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  17	 อันตัวนางเปรียบอย่างปทุเมศ                	 พึ่งประเวศผุดพ้นชลสาย                       	 หอมผกาเกสรขจรจาย                       	 มิได้วายภุมรินถวิลปอง                      	 เหมือนจามรีรู้จักรักษากาย                   	 อันตัวนางเปรียบอย่างปทุดลอด                	 พึ่งประเวศผุดพ้นชลสาย                       	 หอมผกาเกสรขจรจาย                       	 มิได้วายภุมรินถวิลปอง                      	 C0_same_mattra	 ดลอด       	 r1_w1_w2                           	 -                         	 N
neg_000018	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  18	 ครั้นได้ชมสมจิตพิศวาส                     	 ก็นิราศแรมจรัลผันผยอง                       	 ไม่อยู่เฝ้าเคล้ารสเที่ยวจดลอง                 	 ดูทำนองใจชายก็คล้ายกัน                    	 มิได้วายภุมรินถวิลปอง                      	 ครั้นได้ชมสมจิตพิศกรวด                     	 ก็นิราศแรมจรัลผันผยอง                       	 ไม่อยู่เฝ้าเคล้ารสเที่ยวจดลอง                 	 ดูทำนองใจชายก็คล้ายกัน                    	 C0_same_mattra	 กรวด       	 r1_w1_w2                           	 -                         	 N
neg_000019	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  19	 แม้นชายใดใจประสงค์มาหลงรัก              	 ให้รู้จักเชิงชายที่หมายมั่น                      	 อันความรักของชายนี้หลายชั้น                  	 เขาว่ารักรักนั้นประการใด                   	 ดูทำนองใจชายก็คล้ายกัน                    	 แม้นชายใดใจประสงค์มาหลงจาก              	 ให้รู้จักเชิงชายที่หมายมั่น                      	 อันความรักของชายนี้หลายชั้น                  	 เขาว่ารักรักนั้นประการใด                   	 C0_same_mattra	 จาก        	 r1_w1_w2                           	 -                         	 N
neg_000020	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  20	 จงพินิจพิศดูให้รู้แน่                        	 อย่าทำแต่ใจเร็วจะเหลวไหล                   	 เปรียบเหมือนคิดปริศนาอย่าไว้ใจ               	 มันมักไพล่แพลงขุมเป็นหลุมพลาง               	 เขาว่ารักรักนั้นประการใด                   	 จงพินิจพิศดูให้รู้เท่า                        	 อย่าทำแต่ใจเร็วจะเหลวไหล                   	 เปรียบเหมือนคิดปริศนาอย่าไว้ใจ               	 มันมักไพล่แพลงขุมเป็นหลุมพลาง               	 C0_same_mattra	 เท่า        	 r1_w1_w2                           	 -                         	 N
neg_000021	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  21	 อันแม่สื่ออย่าได้ถือเป็นบรรทัด                	 สารพัดเขาจะพูดนี้สุดอย่าง                     	 แต่ล้วนดีมีบุญลูกขุนนาง                       	 มาอวดอ้างให้อนงค์หลงอาลัย                 	 มันมักไพล่แพลงขุมเป็นหลุมพลาง               	 อันแม่สื่ออย่าได้ถือเป็นบรรเหิด                	 สารพัดเขาจะพูดนี้สุดอย่าง                     	 แต่ล้วนดีมีบุญลูกขุนนาง                       	 มาอวดอ้างให้อนงค์หลงอาลัย                 	 C0_same_mattra	 เหิด        	 r1_w1_w2                           	 -                         	 N
neg_000022	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  22	 อันร้ายดีมิได้เห็นเป็นแต่ว่า                  	 จะคาดหน้าแน่ลงที่ตรงไหน                     	 เหมือนเขาหลอกบอกลาภถึงเมืองไกล            	 อย่าควรให้ตามคำเขารำพัน                  	 มาอวดอ้างให้อนงค์หลงอาลัย                 	 อันร้ายดีมิได้เห็นเป็นแต่หรือ                  	 จะคาดหน้าแน่ลงที่ตรงไหน                     	 เหมือนเขาหลอกบอกลาภถึงเมืองไกล            	 อย่าควรให้ตามคำเขารำพัน                  	 C0_same_mattra	 หรือ        	 r1_w1_w2                           	 -                         	 N
neg_000023	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  23	 ทางไกลตาอุปมาเหมือนเสียเนตร             	 สุดสังเกตเท็จจริงทุกสิ่งสรรพ์                   	 เขาจะนำไปให้ตายก็ตายพลัน                  	 คนทุกวันเชื่อมันยากปากมันโกง                	 อย่าควรให้ตามคำเขารำพัน                  	 ทางไกลตาอุปมาเหมือนเสียปรัศว์              	 สุดสังเกตเท็จจริงทุกสิ่งสรรพ์                   	 เขาจะนำไปให้ตายก็ตายพลัน                  	 คนทุกวันเชื่อมันยากปากมันโกง                	 C0_same_mattra	 ปรัศว์       	 r1_w1_w2                           	 -                         	 N
neg_000024	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  24	 อันแม่สื่อคือปีศาจที่อาจหาญ                  	 ใครบนบานเข้าสักหน่อยก็พลอยโผง               	 อย่าเชื่อนักมักตับก็คับโครง                    	 มันชักโยงอยากกินแต่สินบน                   	 คนทุกวันเชื่อมันยากปากมันโกง                	 อันแม่สื่อคือปีศาจที่อาจดิ่น                    	 ใครบนบานเข้าสักหน่อยก็พลอยโผง               	 อย่าเชื่อนักมักตับก็คับโครง                    	 มันชักโยงอยากกินแต่สินบน                   	 C0_same_mattra	 ดิ่น         	 r1_w1_w2                           	 -                         	 N
neg_000025	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  25	 อันความชั่วอยู่ที่ตัวของเราหมด               	 ต้องกำสรดโศกร้างอยู่กลางหน                  	 จงฟังหูไว้หูกับผู้คน                          	 สืบยุบลเสียให้แน่อย่าแร่ไป                   	 มันชักโยงอยากกินแต่สินบน                   	 อันความชั่วอยู่ที่ตัวของเราทัณฑ                	 ต้องกำสรดโศกร้างอยู่กลางหน                  	 จงฟังหูไว้หูกับผู้คน                          	 สืบยุบลเสียให้แน่อย่าแร่ไป                   	 C0_same_mattra	 ทัณฑ        	 r1_w1_w2                           	 -                         	 N
neg_000026	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  26	 คิดถึงตัวหาผัวนี้หายาก                     	 มันชั่วมากนะอนงค์อย่าหลงใหล                  	 คนสูบฝิ่นกินสุราพาจัญไร                      	 แม้นหญิงใดร่วมห้องจะต้องจน                 	 สืบยุบลเสียให้แน่อย่าแร่ไป                   	 คิดถึงตัวหาผัวนี้หาจัก                       	 มันชั่วมากนะอนงค์อย่าหลงใหล                  	 คนสูบฝิ่นกินสุราพาจัญไร                      	 แม้นหญิงใดร่วมห้องจะต้องจน                 	 C0_same_mattra	 จัก         	 r1_w1_w2                           	 -                         	 N
neg_000027	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  27	 มักเบียดเบียนบีฑาประดาเสีย                	 เหมือนเลี้ยงเหี้ยอัปรีย์ไม่มีผล                   	 ไม่ทำมาหากินจนสิ้นตน                       	 แล้วซุกซนตีชิงเที่ยววิ่งราว                   	 แม้นหญิงใดร่วมห้องจะต้องจน                 	 มักเบียดเบียนบีฑาประดาเส้า                 	 เหมือนเลี้ยงเหี้ยอัปรีย์ไม่มีผล                   	 ไม่ทำมาหากินจนสิ้นตน                       	 แล้วซุกซนตีชิงเที่ยววิ่งราว                   	 C0_same_mattra	 เส้า        	 r1_w1_w2                           	 -                         	 N
neg_000028	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  28	 ที่บางคนนั้นชั่วเป็นหัวไม้                    	 ให้พอใจชกตีเขามี่ฉาว                        	 ท่านจับได้ใส่ตรวจพรวดคอยาว                 	 แล้วบอกข่าวโศกศัลย์ถึงภรรยา                	 แล้วซุกซนตีชิงเที่ยววิ่งราว                   	 ที่บางคนนั้นชั่วเป็นหัวฉู่                      	 ให้พอใจชกตีเขามี่ฉาว                        	 ท่านจับได้ใส่ตรวจพรวดคอยาว                 	 แล้วบอกข่าวโศกศัลย์ถึงภรรยา                	 C0_same_mattra	 ฉู่          	 r1_w1_w2                           	 -                         	 N
neg_000029	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  29	 เขาเป็นผัวตัวเป็นเมียเสียไม่ได้              	 มีหาไม่เงินทองก็ต้องหา                       	 ไปเสียลดเสียหลั่นพันธนา                     	 ค่าฤชาก็ต้องเสียขายเมียลง                  	 แล้วบอกข่าวโศกศัลย์ถึงภรรยา                	 เขาเป็นผัวตัวเป็นเมียเสียไม่สู่                	 มีหาไม่เงินทองก็ต้องหา                       	 ไปเสียลดเสียหลั่นพันธนา                     	 ค่าฤชาก็ต้องเสียขายเมียลง                  	 C0_same_mattra	 สู่          	 r1_w1_w2                           	 -                         	 N
neg_000030	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  30	 เพราะมีผัวชั่วไปจึงได้ยาก                  	 แสนลำบากบอนนักอย่ามักหลง                   	 บ้างเล่นเบี้ยเสียถั่วมัวทะนง                   	 หน่อยก็ลงจำนำเขาร่ำไป                    	 ค่าฤชาก็ต้องเสียขายเมียลง                  	 เพราะมีผัวชั่วไปจึงได้เจ๊ก                   	 แสนลำบากบอนนักอย่ามักหลง                   	 บ้างเล่นเบี้ยเสียถั่วมัวทะนง                   	 หน่อยก็ลงจำนำเขาร่ำไป                    	 C0_same_mattra	 เจ๊ก        	 r1_w1_w2                           	 -                         	 N
neg_000031	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  31	 มีข้าวของเคยผูกให้ลูกเต้า                  	 ก็เบียนเอาสิ้นสุดหาหยุดไม่                     	 ลงชั้นว่าผ้าผ่อนท่อนสไบ                      	 อย่าไปไขว้เล่นไปจนโซโทรม                 	 หน่อยก็ลงจำนำเขาร่ำไป                    	 มีข้าวของเคยผูกให้ลูกแขวะ                  	 ก็เบียนเอาสิ้นสุดหาหยุดไม่                     	 ลงชั้นว่าผ้าผ่อนท่อนสไบ                      	 อย่าไปไขว้เล่นไปจนโซโทรม                 	 C0_same_mattra	 แขวะ       	 r1_w1_w2                           	 -                         	 N
neg_000032	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  32	 ยังแต่เมียเกลี่ยไกล่ไปขายซื้อ                	 คอยหารือร่วมภิรมย์เมื่อชมโฉม                  	 ครั้นรักผัวก็จะมัวด้วยลมโลม                   	 ต่อล้มโครมแล้วก็ครวญหวนถึงตัว               	 อย่าไปไขว้เล่นไปจนโซโทรม                 	 ยังแต่เมียเกลี่ยไกล่ไปขายโภ                 	 คอยหารือร่วมภิรมย์เมื่อชมโฉม                  	 ครั้นรักผัวก็จะมัวด้วยลมโลม                   	 ต่อล้มโครมแล้วก็ครวญหวนถึงตัว               	 C0_same_mattra	 โภ         	 r1_w1_w2                           	 -                         	 N
neg_000033	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  33	 จะคิดทำอย่างไรก็ใช่ที่                     	 ต้องรับหนี้ยากแค้นใช้แทนผัว                    	 ถ้าคนผู้รู้สึกสำนึกตัว                         	 จะยังชั่วด้วยไม่เฉยชะเลยใจ                 	 ต่อล้มโครมแล้วก็ครวญหวนถึงตัว               	 จะคิดทำอย่างไรก็ใช่ดึ้อ                     	 ต้องรับหนี้ยากแค้นใช้แทนผัว                    	 ถ้าคนผู้รู้สึกสำนึกตัว                         	 จะยังชั่วด้วยไม่เฉยชะเลยใจ                 	 C0_same_mattra	 ดึ้อ         	 r1_w1_w2                           	 -                         	 N
neg_000034	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  34	 จะหาคู่สู่สมภิรมย์หวัง                      	 จงระวังชั่วช้าอัชฌาสัย                        	 ที่ชายดีนั้นก็มีอยู่ถมไป                        	 ใช่วิสัยเขาจะชั่วไปทั่วเมือง                  	 จะยังชั่วด้วยไม่เฉยชะเลยใจ                 	 จะหาคู่สู่สมภิรมย์มงค์                       	 จงระวังชั่วช้าอัชฌาสัย                        	 ที่ชายดีนั้นก็มีอยู่ถมไป                        	 ใช่วิสัยเขาจะชั่วไปทั่วเมือง                  	 C0_same_mattra	 มงค์        	 r1_w1_w2                           	 -                         	 N
neg_000035	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  35	 แต่ใจคนมักจะรนไปหาผิด                   	 ครั้นได้คิดจิตตรอมออกผอมเหลือง                	 ต้องเดือดดิ้นกินน้ำตาอยู่นองเนือง               	 สุดจะเปลื้องราคินให้สิ้นคาว                  	 ใช่วิสัยเขาจะชั่วไปทั่วเมือง                  	 แต่ใจคนมักจะรนไปหาพัทธ                   	 ครั้นได้คิดจิตตรอมออกผอมเหลือง                	 ต้องเดือดดิ้นกินน้ำตาอยู่นองเนือง               	 สุดจะเปลื้องราคินให้สิ้นคาว                  	 C0_same_mattra	 พัทธ        	 r1_w1_w2                           	 -                         	 N
neg_000036	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  36	 เป็นสตรีสุดดีแต่เพียงผัว                    	 จะดีชั่วก็แต่ยังกำลังสาว                       	 ลงจนสองสามจืดไม่ยืดยาว                    	 จะกลับหลังอย่างสาวสิเต็มตรอง               	 สุดจะเปลื้องราคินให้สิ้นคาว                  	 เป็นสตรีสุดดีแต่เพียงเว้                     	 จะดีชั่วก็แต่ยังกำลังสาว                       	 ลงจนสองสามจืดไม่ยืดยาว                    	 จะกลับหลังอย่างสาวสิเต็มตรอง               	 C0_same_mattra	 เว้         	 r1_w1_w2                           	 -                         	 N
neg_000037	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  37	 ถ้าคนดีมิได้ช้ำระยำยับ                     	 ถึงขัดสนจนทรัพย์ไม่เศร้าหมอง                  	 คงมีผู้ชูช่วยประคับประคอง                    	 เปรียบเหมือนทองธรรมดาราคามี              	 จะกลับหลังอย่างสาวสิเต็มตรอง               	 ถ้าคนดีมิได้ช้ำระยำพร่องบ                   	 ถึงขัดสนจนทรัพย์ไม่เศร้าหมอง                  	 คงมีผู้ชูช่วยประคับประคอง                    	 เปรียบเหมือนทองธรรมดาราคามี              	 C0_same_mattra	 พร่องบ      	 r1_w1_w2                           	 -                         	 N
neg_000038	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  38	 ถ้าแม้นตัวชั่วช้ำระยำแล้ว                   	 จะปัดแผ้วถางฝืนไม่คืนที่                       	 เหมือนทองแดงแฝงฝ้าเป็นราคี                 	 ยากจะมีผู้ประสงค์จำนงใจ                   	 เปรียบเหมือนทองธรรมดาราคามี              	 ถ้าแม้นตัวชั่วช้ำระยำเงี้ยว                   	 จะปัดแผ้วถางฝืนไม่คืนที่                       	 เหมือนทองแดงแฝงฝ้าเป็นราคี                 	 ยากจะมีผู้ประสงค์จำนงใจ                   	 C0_same_mattra	 เงี้ยว       	 r1_w1_w2                           	 -                         	 N
neg_000039	 negative	 r1_w1_w2	 SuphasaetSonYing  	 SuphasaetSonYing_1   	  39	 จงรักตัวอย่าให้มัวราคีหมอง                 	 ถือทำนองแบบโบราณท่านขานไข                 	 อย่าเอาผิดมาเป็นชอบประกอบใจ               	 จงอยู่ในโอวาทญาติวงศ์                     	 ยากจะมีผู้ประสงค์จำนงใจ                   	 จงรักตัวอย่าให้มัวราคีแก่ง                   	 ถือทำนองแบบโบราณท่านขานไข                 	 อย่าเอาผิดมาเป็นชอบประกอบใจ               	 จงอยู่ในโอวาทญาติวงศ์                     	 C0_same_mattra	 แก่ง        	 r1_w1_w2                           	 -                         	 N
